Dis1	Dis2	Distance
211	333	0.123571704675688
211	359	0.171603514260491
211	299	0.0777679708733592
211	558	0.235289596755002
176	211	0.0609827910661187
211	579	0.284629882507882
185	211	0.382780070729739
211	414	0.0457849789437189
211	516	0.0612502068001661
211	493	0.206617367371935
153	211	0.333241417657566
174	211	0.27748497008992
211	296	0.228099398432121
162	211	0.103444997589198
211	556	0.052081810597374
211	555	0.106187338715029
211	758	0.0570517466306993
211	332	0.174192522878893
193	211	0.0931564690799816
211	569	0.127227200881229
211	340	0.0365956639896969
211	742	0.236512919767736
211	309	0.241451553210367
191	211	0.118333871665514
42	211	0.0845907918175062
211	416	0.0533201325131084
305	759	0.303188682670249
42	759	0.190245432370084
193	759	0.127323919640526
493	759	0.161383047371682
204	759	0.213483589643748
174	759	0.263777132753846
569	759	0.0400688014815052
162	759	0.146544614642564
295	759	0.134520338581615
530	759	0.055625466799472
332	759	0.141355154386245
211	759	0.0695954087459099
155	759	0.279737572607531
335	759	1
758	759	0.27520834081675
335	742	0.180974095112396
299	335	0.283214132402501
332	335	0.0418950752883642
88	335	0.0339717352460359
333	335	0.345428301045922
176	335	0.119317250994449
335	555	0.249452949632681
295	335	0.143267200870227
335	530	0.0991678701772684
335	556	0.205651373590295
335	714	0.34522025358268
335	516	0.0923278359684655
335	359	0.163438501503629
335	496	0.420711784598243
334	335	0.106788401399306
296	335	0.46176626123744
191	335	0.331161796079115
335	569	0.0670896291273224
335	758	0.190907227581037
335	371	0.169857703654529
191	493	0.0736205788208605
176	493	0.0572154756240843
305	493	0.316191427041969
193	493	0.246548382944792
295	493	0.0507256320783939
42	493	0.0993053536878626
493	555	0.0672016455427588
359	493	0.0909953904040789
334	493	0.117354075908102
299	493	0.0962752015576267
162	493	0.120917022822905
340	493	0.0837252552232511
493	758	0.0812519258679786
174	493	0.169951945408054
493	579	0.144797531974283
204	493	0.0708242615408083
153	493	0.0387316913264808
493	569	0.222183274601177
493	556	0.0549076222245204
332	493	0.135948569236901
493	710	0.0411171529230178
493	530	0.0966242640949659
185	493	0.0459646285773077
155	493	0.0239974840077595
299	555	0.0386388158012925
299	333	0.294484072154615
299	556	0.10069585900581
193	299	0.0678826996924974
191	299	0.263758319286596
299	414	0.652656924691845
299	579	0.114425386532252
299	340	0.15889204788491
162	299	0.176307790500033
295	299	0.395575307548095
299	516	0.159587866439446
174	299	0.0466849175748754
299	332	0.125730731768236
299	530	0.0550625973890849
88	299	0.0388594731887803
155	299	0.124943923441187
299	758	0.292787716571054
299	742	0.477862796661627
176	299	0.0762280257173042
153	299	0.158453008378164
191	296	0.475288020140625
88	296	0.0716275668843519
296	555	0.0773793332721995
296	332	0.199368593788838
296	333	0.572997515738532
296	556	0.0979156272327032
296	742	0.409834528679535
295	296	0.460706289556612
174	296	0.0281386186265272
176	296	0.0855878253047966
296	530	0.0540241423079254
296	496	0.248808145634486
296	758	0.582647385984427
88	556	0.0809731605871544
88	333	0.0323097544183556
88	555	0.0195429120846185
88	714	0.215566996687519
88	176	0.0553126345265877
88	496	0.0681200344209093
88	359	0.0271998718997043
88	416	0.212621785168495
88	309	0.0713793493794913
88	425	0.0545013331295981
88	371	0.0854089023149813
88	185	0.0343707381861246
88	340	0.0317180647555069
88	211	0.0298021248544385
88	414	0.0440731377347658
88	579	0.0258293829645406
153	174	0.0739638500520972
174	359	0.206896308582072
42	174	0.0216443245720177
174	191	0.120076610051537
174	758	0.0842172370047669
174	558	0.191789964971913
155	174	0.238210230102655
162	174	0.448050473890204
174	309	0.228926366951646
174	193	0.215826214570519
174	176	0.18086459750182
174	710	0.0853359279906309
174	204	0.0644277941103639
174	516	0.0857161178132382
174	579	0.0910678505343182
174	185	0.0570682261322214
174	295	0.0381706053615923
174	371	0.0248837894138608
174	530	0.0608258824439271
174	742	0.119699324630663
425	496	0.301717535314428
414	425	0.0829159547554407
425	714	0.25538238157777
425	556	0.115723835913678
371	425	0.139365472674912
425	555	0.229498846646227
359	425	0.151689664226352
335	425	0.25956873323824
204	425	0.112660918311476
425	758	0.0621561661752114
155	425	0.0284187450745446
425	530	0.0722492993050944
334	425	0.0547972411852803
305	425	0.0735784988644349
296	425	0.118599358194204
425	759	0.118341695848013
333	425	0.0354652719797942
42	425	0.0922212677043513
204	309	0.175610698764346
204	211	0.0458622217206009
193	204	0.0565820212095775
204	758	0.0981435022027838
155	204	0.0469710041321888
162	204	0.052303152105164
204	332	0.0884094299373755
42	204	0.0661987825975542
153	204	0.0805480635575182
204	359	0.101106071210253
204	305	0.155053533500157
496	555	0.20233172474693
42	496	0.038541635420503
496	516	0.156164520199449
496	556	0.260557241606834
496	710	0.0714405107353362
496	714	0.219460511406092
295	496	0.0260876210707063
334	496	0.241741944480012
333	496	0.0266459850643748
496	569	0.209476962932263
153	496	0.0391580663990945
414	496	0.0598042344139491
371	496	0.301943625519361
416	496	0.0874699480255107
496	758	0.059800181579086
176	496	0.0570957374781373
359	496	0.0620210448686176
496	530	0.0260463470088576
305	496	0.0417757719541639
162	579	0.0546206500667214
569	579	0.0608203303511547
340	579	0.126656257311833
185	579	0.123719872991158
42	579	0.114381369995281
305	579	0.485408517361588
333	579	0.0956975776636181
332	579	0.16516066483396
556	579	0.0674936991841604
579	710	0.270621351607101
193	579	0.0978938674729952
516	579	0.17897440008621
359	579	0.253710865751813
309	579	0.0918459453027904
558	579	0.28652075435497
191	579	0.0437051969651584
579	742	0.155063745885143
153	569	0.219489681139027
153	558	0.373279441109616
153	516	0.0394765349900309
153	176	0.103369719340856
153	193	0.0715842790271237
153	185	0.118017462526622
153	556	0.212676105288095
153	359	0.141226913468733
153	332	0.0629380121259674
42	153	0.18233873195359
153	162	0.148217186086381
153	555	0.23252843214799
153	191	0.0839371835352564
153	530	0.0932051337216222
153	295	0.121325699269758
153	155	0.122037936209924
153	305	0.0992438314960359
153	414	0.115352757550321
153	335	0.0806187821324447
153	334	0.0548202159643509
153	309	0.0703607638997076
340	555	0.123662689350178
555	710	0.0589090579615655
555	556	0.807674701509312
333	555	0.0905673051201077
295	555	0.044030534793182
555	558	0.189955091744999
191	555	0.109090963771991
555	714	0.0972544731841452
305	555	0.0215437432328848
530	555	0.102819808258485
42	555	0.115214076219235
414	555	0.0815932431797722
555	758	0.0392269917416157
371	555	0.0405298843086081
