Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Bipolar disorder	Prostate cancer 2	296	185	mental disorders	neoplasms	Bipolar disorder	Prostate cancer	0.80952380952381	0.0149026676862301	0.0214301961894679	FALSE	Bipolar disorder _ Prostate cancer	185 _ 296	dm	FALSE	TRUE
Keratoconus	Prostate cancer 2	371	185	diseases of the nervous system and sense organs	neoplasms	Keratoconus	Prostate cancer	0.80952380952381	0.0149026676862301	0.0214301961894679	FALSE	Keratoconus _ Prostate cancer	185 _ 371	dm	FALSE	FALSE
Amyotrophic lateral sclerosis	Prostate cancer 2	335	185	diseases of the nervous system and sense organs	neoplasms	Amyotrophic lateral sclerosis	Prostate cancer	0.745454545454545	0.01333014631544	0.0192905007417282	FALSE	Amyotrophic lateral sclerosis _ Prostate cancer	185 _ 335	dm	FALSE	FALSE
Ulcer	Crohn's disease 2	569	555	diseases of the digestive system	diseases of the digestive system	Ulcer	Crohn's disease	0.743839583877246	0	0	TRUE	Crohn's disease _ Ulcer	555 _ 569	dm	TRUE	TRUE
Adenomatous polyps	Myotonic dystrophy 1	211	359	neoplasms	diseases of the nervous system and sense organs	Adenomatous polyps	Myotonic dystrophy	0.675636826655554	1.09940823027514e-108	1.25859763759565e-107	TRUE	Adenomatous polyps _ Myotonic dystrophy	211 _ 359	dm	TRUE	TRUE
Ischemia	Autism 2	414	299	diseases of the circulatory system	mental disorders	Ischemia	Autism	0.652656924691845	9.27222280769094e-05	0.000161047998512602	FALSE	Autism _ Ischemia	299 _ 414	dm	TRUE	TRUE
Huntington's disease	Bipolar disorder 1	333	296	diseases of the nervous system and sense organs	mental disorders	Huntington's disease	Bipolar disorder	0.641616692078422	0	0	TRUE	Bipolar disorder _ Huntington's disease	296 _ 333	dm	TRUE	TRUE
Ulcerative colitis	Ulcer 2	556	569	diseases of the digestive system	diseases of the digestive system	Ulcerative colitis	Ulcer	0.631512847381001	0	0	TRUE	Ulcer _ Ulcerative colitis	556 _ 569	dm	TRUE	TRUE
Parkinson's disease	Huntington's disease 1	332	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Parkinson's disease	Huntington's disease	0.624379413356767	0	0	TRUE	Huntington's disease _ Parkinson's disease	332 _ 333	dm	TRUE	TRUE
Bipolar disorder	Post-traumatic stress disorder 2	296	309	mental disorders	mental disorders	Bipolar disorder	Post-traumatic stress disorder	0.599587203302374	0.008536698768223	0.0125904041459496	TRUE	Bipolar disorder _ Post-traumatic stress disorder	296 _ 309	dm	TRUE	TRUE
Down syndrome	Bipolar disorder 1	758	296	congenital anomalies	mental disorders	Down syndrome	Bipolar disorder	0.582647385984427	0.000728942134206449	0.00117913449890414	FALSE	Bipolar disorder _ Down syndrome	296 _ 758	dm	TRUE	TRUE
Bipolar disorder	Schizophrenia 1	296	295	mental disorders	mental disorders	Bipolar disorder	Schizophrenia	0.573800740987324	1.14049658362464e-97	1.17169615655449e-96	TRUE	Bipolar disorder _ Schizophrenia	295 _ 296	dm	TRUE	TRUE
Multiple sclerosis	Huntington's disease 2	340	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Multiple sclerosis	Huntington's disease	0.536527906665055	2.48312224753835e-262	6.7670574878711e-261	FALSE	Huntington's disease _ Multiple sclerosis	333 _ 340	dm	TRUE	TRUE
Colorectal cancer	Lymphocytic colitis 2	153	558	neoplasms	diseases of the digestive system	Colorectal cancer	Lymphocytic colitis	0.532955002586798	6.8788889898714e-63	4.62775284419639e-62	TRUE	Colorectal cancer _ Lymphocytic colitis	153 _ 558	dm	TRUE	TRUE
Parkinson's disease	Bipolar disorder 1	332	296	diseases of the nervous system and sense organs	mental disorders	Parkinson's disease	Bipolar disorder	0.532372237233882	0	0	TRUE	Bipolar disorder _ Parkinson's disease	296 _ 332	dm	TRUE	TRUE
Autism	Systemic lupus erythematosus 2	299	710	mental disorders	diseases of the musculoskeletal system and connective tissue	Autism	Systemic lupus erythematosus	0.526108488793881	0.00482101598598359	0.00728296233938508	FALSE	Autism _ Systemic lupus erythematosus	299 _ 710	dm	FALSE	FALSE
Down syndrome	Systemic lupus erythematosus 2	758	710	congenital anomalies	diseases of the musculoskeletal system and connective tissue	Down syndrome	Systemic lupus erythematosus	0.51679436568927	8.76752426847743e-05	0.000152453929897099	FALSE	Down syndrome _ Systemic lupus erythematosus	710 _ 758	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Huntington's disease 2	335	333	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Amyotrophic lateral sclerosis	Huntington's disease	0.508655592231478	4.1567238407838e-219	9.94223772248055e-218	TRUE	Amyotrophic lateral sclerosis _ Huntington's disease	333 _ 335	dm	TRUE	TRUE
Huntington's disease	Glioblastoma 2	333	191	diseases of the nervous system and sense organs	neoplasms	Huntington's disease	Glioblastoma	0.503889864165429	0	0	FALSE	Glioblastoma _ Huntington's disease	191 _ 333	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Chronic obstructive pulmonary disease 2	335	496	diseases of the nervous system and sense organs	diseases of the respiratory system	Amyotrophic lateral sclerosis	Chronic obstructive pulmonary disease	0.497921633591625	0	0	TRUE	Amyotrophic lateral sclerosis _ Chronic obstructive pulmonary disease	335 _ 496	dm	TRUE	TRUE
Parkinson's disease	Glioblastoma 2	332	191	diseases of the nervous system and sense organs	neoplasms	Parkinson's disease	Glioblastoma	0.493882212454172	0	0	FALSE	Glioblastoma _ Parkinson's disease	191 _ 332	dm	FALSE	TRUE
Human immunodeficiency virus infection	Muscular dystrophy 2	42	359	infectious and parasitic diseases	diseases of the nervous system and sense organs	Human immunodeficiency virus infection	Muscular dystrophy	0.491421631347349	0.0172457988737146	0.0246271447399046	TRUE	Human immunodeficiency virus infection _ Muscular dystrophy	42 _ 359	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Rheumatoid arthritis 2	335	714	diseases of the nervous system and sense organs	diseases of the musculoskeletal system and connective tissue	Amyotrophic lateral sclerosis	Rheumatoid arthritis	0.490006487274403	4.47686037163488e-206	1.00999937834796e-204	FALSE	Amyotrophic lateral sclerosis _ Rheumatoid arthritis	335 _ 714	dm	FALSE	FALSE
Smoker	Coeliac disease 1	305	579	mental disorders	diseases of the digestive system	Smoker	Coeliac disease	0.485408517361588	2.00007326546638e-42	1.02440342968877e-41	TRUE	Coeliac disease _ Smoker	305 _ 579	dm	TRUE	TRUE
Lung cancer	Breast cancer 2	162	174	neoplasms	neoplasms	Lung cancer	Breast cancer	0.484573397561314	0	0	FALSE	Breast cancer _ Lung cancer	162 _ 174	dm	FALSE	TRUE
Keratoconus	Rheumatoid arthritis 2	371	714	diseases of the nervous system and sense organs	diseases of the musculoskeletal system and connective tissue	Keratoconus	Rheumatoid arthritis	0.478073226243851	9.39865455983187e-195	2.01343698900885e-193	TRUE	Keratoconus _ Rheumatoid arthritis	371 _ 714	dm	TRUE	TRUE
Familial dysautonomia	Autism 1	742	299	congenital anomalies	mental disorders	Familial dysautonomia	Autism	0.477862796661627	5.72772935627949e-62	3.80756450138428e-61	TRUE	Autism _ Familial dysautonomia	299 _ 742	dm	TRUE	TRUE
Glioblastoma	Bipolar disorder 1	191	296	neoplasms	mental disorders	Glioblastoma	Bipolar disorder	0.475288020140625	0	0	FALSE	Bipolar disorder _ Glioblastoma	191 _ 296	dm	TRUE	TRUE
Bipolar disorder	Amyotrophic lateral sclerosis 2	296	335	mental disorders	diseases of the nervous system and sense organs	Bipolar disorder	Amyotrophic lateral sclerosis	0.46176626123744	0.000179707334706983	0.000305708458627347	TRUE	Amyotrophic lateral sclerosis _ Bipolar disorder	296 _ 335	dm	TRUE	TRUE
Autism	Schizophrenia 2	299	295	mental disorders	mental disorders	Autism	Schizophrenia	0.455435812499037	3.81069069766543e-74	2.97465703509777e-73	TRUE	Autism _ Schizophrenia	295 _ 299	dm	TRUE	TRUE
Myotonic dystrophy	Systemic lupus erythematosus 2	359	710	diseases of the nervous system and sense organs	diseases of the musculoskeletal system and connective tissue	Myotonic dystrophy	Systemic lupus erythematosus	0.45115753811406	0.0350761434257907	0.0480609493569399	TRUE	Myotonic dystrophy _ Systemic lupus erythematosus	359 _ 710	dm	TRUE	TRUE
Huntington's disease	Schizophrenia 1	333	295	diseases of the nervous system and sense organs	mental disorders	Huntington's disease	Schizophrenia	0.449745500830237	2.84867153277233e-184	5.7149732802426e-183	TRUE	Huntington's disease _ Schizophrenia	295 _ 333	dm	TRUE	TRUE
Myotonic dystrophy	Hyperplastic polyps 3	359	211	diseases of the nervous system and sense organs	neoplasms	Myotonic dystrophy	Hyperplastic polyps	0.445725903671206	1.22760856955786e-223	2.96503575682622e-222	TRUE	Hyperplastic polyps _ Myotonic dystrophy	211 _ 359	dm	TRUE	TRUE
Coeliac disease	Ischemia 1	579	414	diseases of the digestive system	diseases of the circulatory system	Coeliac disease	Ischemia	0.444339263792575	0.00586628060419614	0.00878124249392247	FALSE	Coeliac disease _ Ischemia	414 _ 579	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Autism 2	335	299	diseases of the nervous system and sense organs	mental disorders	Amyotrophic lateral sclerosis	Autism	0.443549902171149	0.0159493428523557	0.0228446517738741	FALSE	Amyotrophic lateral sclerosis _ Autism	299 _ 335	dm	FALSE	TRUE
