Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Hyperplastic polyps	Asthma 5	211	493	neoplasms	diseases of the respiratory system	Hyperplastic polyps	Asthma	0.286135979232687	2.89025278001597e-120	3.71242270534272e-119	TRUE	Asthma _ Hyperplastic polyps	211 _ 493	dm	TRUE	TRUE
Coeliac disease	Adenomatous polyps 2	579	211	diseases of the digestive system	neoplasms	Coeliac disease	Adenomatous polyps	0.284629882507882	5.50523654553457e-72	4.17570836009205e-71	TRUE	Adenomatous polyps _ Coeliac disease	211 _ 579	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Ulcerative colitis 1	335	556	diseases of the nervous system and sense organs	diseases of the digestive system	Amyotrophic lateral sclerosis	Ulcerative colitis	0.284099534477839	2.01788281516535e-123	2.66412438555271e-122	FALSE	Amyotrophic lateral sclerosis _ Ulcerative colitis	335 _ 556	dm	TRUE	TRUE
Eosinophilic esophagitis	Lymphocytic colitis 2	530	558	diseases of the digestive system	diseases of the digestive system	Eosinophilic esophagitis	Lymphocytic colitis	0.283352265836268	1.23182131508059e-93	1.20425198088593e-92	TRUE	Eosinophilic esophagitis _ Lymphocytic colitis	530 _ 558	dm	TRUE	TRUE
Papillary thyroid cancer	Smoker 2	193	305	neoplasms	mental disorders	Papillary thyroid cancer	Smoker	0.283301029817204	1.43179577495747e-45	7.69496525127665e-45	FALSE	Papillary thyroid cancer _ Smoker	193 _ 305	dm	FALSE	FALSE
Multiple sclerosis	Down syndrome 1	340	758	diseases of the nervous system and sense organs	congenital anomalies	Multiple sclerosis	Down syndrome	0.278851473591392	9.20488540196249e-08	1.90820899329138e-07	FALSE	Down syndrome _ Multiple sclerosis	340 _ 758	dm	FALSE	FALSE
Ulcerative colitis	Colorectal cancer 4	556	153	diseases of the digestive system	neoplasms	Ulcerative colitis	Colorectal cancer	0.278510818803095	2.66779828664977e-133	3.75994728775193e-132	TRUE	Colorectal cancer _ Ulcerative colitis	153 _ 556	dm	TRUE	TRUE
Myotonic dystrophy	Coeliac disease 1	359	579	diseases of the nervous system and sense organs	diseases of the digestive system	Myotonic dystrophy	Coeliac disease	0.278192974628668	0.0142946219757606	0.0206039262224923	TRUE	Coeliac disease _ Myotonic dystrophy	359 _ 579	dm	TRUE	TRUE
Hyperplastic polyps	Parkinson's disease 5	211	332	neoplasms	diseases of the nervous system and sense organs	Hyperplastic polyps	Parkinson's disease	0.277769700360742	1.57110660514079e-130	2.17937963537435e-129	FALSE	Hyperplastic polyps _ Parkinson's disease	211 _ 332	dm	FALSE	FALSE
Myotonic dystrophy	Down syndrome 2	359	758	diseases of the nervous system and sense organs	congenital anomalies	Myotonic dystrophy	Down syndrome	0.277565821802685	0.0289481547018158	0.0401467428075847	FALSE	Down syndrome _ Myotonic dystrophy	359 _ 758	dm	TRUE	TRUE
Breast cancer	Adenomatous polyps 2	174	211	neoplasms	neoplasms	Breast cancer	Adenomatous polyps	0.27748497008992	4.3527367389905e-175	8.39076856821362e-174	FALSE	Adenomatous polyps _ Breast cancer	174 _ 211	dm	FALSE	TRUE
Prostate cancer	Familial dysautonomia 1	185	742	neoplasms	congenital anomalies	Prostate cancer	Familial dysautonomia	0.27479794067918	2.39349812728353e-57	1.49432893724676e-56	FALSE	Familial dysautonomia _ Prostate cancer	185 _ 742	dm	FALSE	FALSE
Asthma	Ulcer 1	493	569	diseases of the respiratory system	diseases of the digestive system	Asthma	Ulcer	0.271689044213669	1.34736828069074e-75	1.07145787485788e-74	TRUE	Asthma _ Ulcer	493 _ 569	dm	TRUE	TRUE
Systemic lupus erythematosus	Coeliac disease 2	710	579	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Systemic lupus erythematosus	Coeliac disease	0.270621351607101	2.00670039321736e-14	5.47597152052536e-14	TRUE	Coeliac disease _ Systemic lupus erythematosus	579 _ 710	dm	TRUE	TRUE
Systemic lupus erythematosus	Ulcer 1	710	569	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Systemic lupus erythematosus	Ulcer	0.26782477988833	5.18184828492693e-58	3.26496200377135e-57	TRUE	Systemic lupus erythematosus _ Ulcer	569 _ 710	dm	TRUE	TRUE
Papillary thyroid cancer	Sessile serrated polyps	193	211	neoplasms	neoplasms	Papillary thyroid cancer	Sessile serrated polyps	0.266735028368359	2.18131659185125e-65	1.52754165880749e-64	FALSE	Papillary thyroid cancer _ Sessile serrated polyps	193 _ 211	dd	FALSE	FALSE
Chronic obstructive pulmonary disease	Friedreich's ataxia 1	496	334	diseases of the respiratory system	diseases of the nervous system and sense organs	Chronic obstructive pulmonary disease	Friedreich's ataxia	0.266349363585721	7.50502549119202e-147	1.19132608248071e-145	TRUE	Chronic obstructive pulmonary disease _ Friedreich's ataxia	334 _ 496	dm	TRUE	TRUE
Prostate cancer	Idiopathic pulmonary fibrosis 1	185	516	neoplasms	diseases of the respiratory system	Prostate cancer	Idiopathic pulmonary fibrosis	0.266170456608199	4.5200490909302e-127	6.14547071766868e-126	FALSE	Idiopathic pulmonary fibrosis _ Prostate cancer	185 _ 516	dm	FALSE	TRUE
Crohn's disease	Colorectal cancer 4	555	153	diseases of the digestive system	neoplasms	Crohn's disease	Colorectal cancer	0.265318376056486	6.51965089445565e-144	1.01400327926647e-142	FALSE	Colorectal cancer _ Crohn's disease	153 _ 555	dm	TRUE	TRUE
Prostate cancer	Hyperplastic polyps 2	185	211	neoplasms	neoplasms	Prostate cancer	Hyperplastic polyps	0.265015322167344	1.96275448349003e-93	1.91578523990731e-92	FALSE	Hyperplastic polyps _ Prostate cancer	185 _ 211	dm	FALSE	TRUE
Breast cancer	Alagille syndrome 2	174	759	neoplasms	congenital anomalies	Breast cancer	Alagille syndrome	0.263777132753846	3.15169558275318e-135	4.51425420794811e-134	FALSE	Alagille syndrome _ Breast cancer	174 _ 759	dm	FALSE	FALSE
Glioblastoma	Autism 1	191	299	neoplasms	mental disorders	Glioblastoma	Autism	0.263758319286596	1.80382046586549e-138	2.65465477879703e-137	FALSE	Autism _ Glioblastoma	191 _ 299	dm	FALSE	FALSE
Amyotrophic lateral sclerosis	Schizophrenia 1	335	295	diseases of the nervous system and sense organs	mental disorders	Amyotrophic lateral sclerosis	Schizophrenia	0.26044383982166	1.31964286084309e-18	4.13096842690348e-18	FALSE	Amyotrophic lateral sclerosis _ Schizophrenia	295 _ 335	dm	FALSE	TRUE
Breast cancer	Asthma 1	174	493	neoplasms	diseases of the respiratory system	Breast cancer	Asthma	0.258451831467213	4.97900589976109e-140	7.44313042151178e-139	FALSE	Asthma _ Breast cancer	174 _ 493	dm	FALSE	TRUE
Rheumatoid arthritis	Ulcerative colitis 1	714	556	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Rheumatoid arthritis	Ulcerative colitis	0.256545446864281	3.20604265363347e-100	3.41626586569698e-99	TRUE	Rheumatoid arthritis _ Ulcerative colitis	556 _ 714	dm	TRUE	TRUE
Kaposi's sarcoma	Lymphocytic colitis 2	176	558	neoplasms	diseases of the digestive system	Kaposi's sarcoma	Lymphocytic colitis	0.255869810482795	5.41729558741172e-25	2.00391132269482e-24	TRUE	Kaposi's sarcoma _ Lymphocytic colitis	176 _ 558	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Cardiomyopathy 2	335	425	diseases of the nervous system and sense organs	diseases of the circulatory system	Amyotrophic lateral sclerosis	Cardiomyopathy	0.255859958200465	6.7376705908335e-30	2.77666866302734e-29	FALSE	Amyotrophic lateral sclerosis _ Cardiomyopathy	335 _ 425	dm	FALSE	TRUE
Alagille syndrome	Smoker 1	759	305	congenital anomalies	mental disorders	Alagille syndrome	Smoker	0.255718827658548	1.05856794751891e-34	4.75544856948865e-34	TRUE	Alagille syndrome _ Smoker	305 _ 759	dm	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Coeliac disease 2	359	579	diseases of the nervous system and sense organs	diseases of the digestive system	Facioscapulohumeral muscular dystrophy	Coeliac disease	0.253710865751813	8.6366573465088e-13	2.22008232876243e-12	TRUE	Coeliac disease _ Facioscapulohumeral muscular dystrophy	359 _ 579	dm	TRUE	TRUE
Cardiomyopathy	Crohn's disease 1	425	555	diseases of the circulatory system	diseases of the digestive system	Cardiomyopathy	Crohn's disease	0.25220775569925	1.25951369948917e-145	1.98397567139483e-144	FALSE	Cardiomyopathy _ Crohn's disease	425 _ 555	dm	FALSE	FALSE
Familial dysautonomia	Parkinson's disease 3	742	332	congenital anomalies	diseases of the nervous system and sense organs	Familial dysautonomia	Parkinson's disease	0.250128239002127	2.57731495037379e-75	2.03769997167551e-74	TRUE	Familial dysautonomia _ Parkinson's disease	332 _ 742	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Hyperplastic polyps 1	416	211	diseases of the circulatory system	neoplasms	Familial pulmonary arterial hypertension	Hyperplastic polyps	0.249158337894619	1.89133128396469e-61	1.24986152123804e-60	TRUE	Familial pulmonary arterial hypertension _ Hyperplastic polyps	211 _ 416	dm	TRUE	TRUE
Papillary thyroid cancer	Ulcer 1	193	569	neoplasms	diseases of the digestive system	Papillary thyroid cancer	Ulcer	0.24905983379029	3.68995226734986e-66	2.60474682115848e-65	FALSE	Papillary thyroid cancer _ Ulcer	193 _ 569	dm	FALSE	TRUE
Chronic obstructive pulmonary disease	Bipolar disorder 3	496	296	diseases of the respiratory system	mental disorders	Chronic obstructive pulmonary disease	Bipolar disorder	0.248808145634486	5.10500268857226e-112	6.05230251374717e-111	TRUE	Bipolar disorder _ Chronic obstructive pulmonary disease	296 _ 496	dm	TRUE	TRUE
Adenomatous polyps	Muscular dystrophy 3	211	359	neoplasms	diseases of the nervous system and sense organs	Adenomatous polyps	Muscular dystrophy	0.248369548745283	7.23626890590081e-13	1.86438737466819e-12	TRUE	Adenomatous polyps _ Muscular dystrophy	211 _ 359	dm	TRUE	TRUE
Schizophrenia	Ischemia 1	295	414	mental disorders	diseases of the circulatory system	Schizophrenia	Ischemia	0.247899441606641	8.14554771612833e-07	1.60641781567833e-06	FALSE	Ischemia _ Schizophrenia	295 _ 414	dm	FALSE	FALSE
Sessile serrated polyps	Ulcer 1	211	569	neoplasms	diseases of the digestive system	Sessile serrated polyps	Ulcer	0.24674514678837	1.41498990460018e-76	1.13475557583757e-75	TRUE	Sessile serrated polyps _ Ulcer	211 _ 569	dm	TRUE	TRUE
Eosinophilic esophagitis	Kaposi's sarcoma 1	530	176	diseases of the digestive system	neoplasms	Eosinophilic esophagitis	Kaposi's sarcoma	0.246712479227148	5.35420033045407e-89	4.97758789966288e-88	TRUE	Eosinophilic esophagitis _ Kaposi's sarcoma	176 _ 530	dm	TRUE	TRUE
Ulcer	Colorectal cancer 4	569	153	diseases of the digestive system	neoplasms	Ulcer	Colorectal cancer	0.245834727983036	3.20559729932716e-75	2.53118894443025e-74	TRUE	Colorectal cancer _ Ulcer	153 _ 569	dm	TRUE	TRUE
Hyperplastic polyps	Down syndrome 1	211	758	neoplasms	congenital anomalies	Hyperplastic polyps	Down syndrome	0.244183402892119	7.30940482426525e-60	4.71152530744633e-59	FALSE	Down syndrome _ Hyperplastic polyps	211 _ 758	dm	FALSE	FALSE
Ulcer	Lymphocytic colitis 2	569	558	diseases of the digestive system	diseases of the digestive system	Ulcer	Lymphocytic colitis	0.242892590441993	2.28732557304312e-65	1.59995891020699e-64	TRUE	Lymphocytic colitis _ Ulcer	558 _ 569	dm	TRUE	TRUE
Amyotrophic lateral sclerosis	Familial dysautonomia	335	742	diseases of the nervous system and sense organs	congenital anomalies	Amyotrophic lateral sclerosis	Familial dysautonomia	0.242318110734821	1.07129759223672e-15	3.04763134900043e-15	FALSE	Amyotrophic lateral sclerosis _ Familial dysautonomia	335 _ 742	dd	TRUE	TRUE
Crohn's disease	Lymphocytic colitis 2	555	558	diseases of the digestive system	diseases of the digestive system	Crohn's disease	Lymphocytic colitis	0.24169116476158	1.36223552579638e-114	1.66799375812722e-113	TRUE	Crohn's disease _ Lymphocytic colitis	555 _ 558	dm	TRUE	TRUE
Hyperplastic polyps	Facioscapulohumeral muscular dystrophy 5	211	359	neoplasms	diseases of the nervous system and sense organs	Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	0.241674966335364	5.04950897395031e-58	3.18320632247287e-57	TRUE	Facioscapulohumeral muscular dystrophy _ Hyperplastic polyps	211 _ 359	dm	TRUE	TRUE
Alagille syndrome	Human immunodeficiency virus infection 2	759	42	congenital anomalies	infectious and parasitic diseases	Alagille syndrome	Human immunodeficiency virus infection	0.240406341980228	0.0106725693709045	0.0155930150054325	FALSE	Alagille syndrome _ Human immunodeficiency virus infection	42 _ 759	dm	FALSE	FALSE
Kaposi's sarcoma	Papillary thyroid cancer 1	176	193	neoplasms	neoplasms	Kaposi's sarcoma	Papillary thyroid cancer	0.240096931379079	3.72089049599098e-52	2.17016709894019e-51	FALSE	Kaposi's sarcoma _ Papillary thyroid cancer	176 _ 193	dm	TRUE	TRUE
Borrelia burgdorferi infection	Familial pulmonary arterial hypertension 1	88	416	infectious and parasitic diseases	diseases of the circulatory system	Borrelia burgdorferi infection	Familial pulmonary arterial hypertension	0.239482425020575	6.98773899851146e-62	4.63516257316447e-61	FALSE	Borrelia burgdorferi infection _ Familial pulmonary arterial hypertension	88 _ 416	dm	FALSE	FALSE
Breast cancer	Post-traumatic stress disorder 2	174	309	neoplasms	mental disorders	Breast cancer	Post-traumatic stress disorder	0.239366947725853	4.61682244822729e-111	5.43171145341584e-110	FALSE	Breast cancer _ Post-traumatic stress disorder	174 _ 309	dm	FALSE	TRUE
Rheumatoid arthritis	Crohn's disease 1	714	555	diseases of the musculoskeletal system and connective tissue	diseases of the digestive system	Rheumatoid arthritis	Crohn's disease	0.238840139001818	9.52443103965733e-130	1.31674457403478e-128	TRUE	Crohn's disease _ Rheumatoid arthritis	555 _ 714	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Chronic obstructive pulmonary disease 1	516	496	diseases of the respiratory system	diseases of the respiratory system	Idiopathic pulmonary fibrosis	Chronic obstructive pulmonary disease	0.238371532629472	6.07974059530045e-137	8.86275084649834e-136	TRUE	Chronic obstructive pulmonary disease _ Idiopathic pulmonary fibrosis	496 _ 516	dm	TRUE	TRUE
Liver cancer	Breast cancer 2	155	174	neoplasms	neoplasms	Liver cancer	Breast cancer	0.238210230102655	1.31886982699323e-151	2.16035086820513e-150	FALSE	Breast cancer _ Liver cancer	155 _ 174	dm	FALSE	FALSE
Familial dysautonomia	Idiopathic pulmonary fibrosis 1	742	516	congenital anomalies	diseases of the respiratory system	Familial dysautonomia	Idiopathic pulmonary fibrosis	0.237668043284054	2.69104815141022e-108	3.07213448832911e-107	FALSE	Familial dysautonomia _ Idiopathic pulmonary fibrosis	516 _ 742	dm	TRUE	TRUE
Sessile serrated polyps	Parkinson's disease 5	211	332	neoplasms	diseases of the nervous system and sense organs	Sessile serrated polyps	Parkinson's disease	0.23697505733186	1.61443594327577e-81	1.37054596480158e-80	FALSE	Parkinson's disease _ Sessile serrated polyps	211 _ 332	dm	FALSE	FALSE
Sessile serrated polyps	Ulcerative colitis 1	211	556	neoplasms	diseases of the digestive system	Sessile serrated polyps	Ulcerative colitis	0.236374230493433	3.06336370556549e-101	3.29559075328871e-100	TRUE	Sessile serrated polyps _ Ulcerative colitis	211 _ 556	dm	TRUE	TRUE
Cardiomyopathy	Ischemia	425	414	diseases of the circulatory system	diseases of the circulatory system	Cardiomyopathy	Ischemia	0.235421313180664	0.00579769980980535	0.00868386019664181	TRUE	Cardiomyopathy _ Ischemia	414 _ 425	dd	TRUE	TRUE
Lymphocytic colitis	Adenomatous polyps 1	558	211	diseases of the digestive system	neoplasms	Lymphocytic colitis	Adenomatous polyps	0.235289596755002	3.76285787792327e-19	1.1964605921595e-18	TRUE	Adenomatous polyps _ Lymphocytic colitis	211 _ 558	dm	TRUE	TRUE
Papillary thyroid cancer	Hyperplastic polyps 4	193	211	neoplasms	neoplasms	Papillary thyroid cancer	Hyperplastic polyps	0.234852773302961	8.71141395905796e-81	7.32472335479017e-80	FALSE	Hyperplastic polyps _ Papillary thyroid cancer	193 _ 211	dm	FALSE	FALSE
Sessile serrated polyps	Asthma 5	211	493	neoplasms	diseases of the respiratory system	Sessile serrated polyps	Asthma	0.234130305391582	1.56182737160669e-64	1.07418143849532e-63	TRUE	Asthma _ Sessile serrated polyps	211 _ 493	dm	TRUE	TRUE
Sessile serrated polyps	Down syndrome 1	211	758	neoplasms	congenital anomalies	Sessile serrated polyps	Down syndrome	0.233692991143791	5.12830455844251e-36	2.34834407252397e-35	FALSE	Down syndrome _ Sessile serrated polyps	211 _ 758	dm	FALSE	FALSE
Familial dysautonomia	Schizophrenia 1	742	295	congenital anomalies	mental disorders	Familial dysautonomia	Schizophrenia	0.232742810365518	7.7471540422393e-27	2.97287985957333e-26	TRUE	Familial dysautonomia _ Schizophrenia	295 _ 742	dm	TRUE	TRUE
Smoker	Systemic lupus erythematosus 2	305	710	mental disorders	diseases of the musculoskeletal system and connective tissue	Smoker	Systemic lupus erythematosus	0.232547923773465	2.27766628933687e-09	5.10021693365779e-09	FALSE	Smoker _ Systemic lupus erythematosus	305 _ 710	dm	FALSE	TRUE
Smoker	Keratoconus 1	305	371	mental disorders	diseases of the nervous system and sense organs	Smoker	Keratoconus	0.229941735925516	6.23014790348203e-09	1.36772343388151e-08	FALSE	Keratoconus _ Smoker	305 _ 371	dm	FALSE	FALSE
Hyperplastic polyps	Ischemia 1	211	414	neoplasms	diseases of the circulatory system	Hyperplastic polyps	Ischemia	0.228872772310379	2.73973193698855e-52	1.60094962048506e-51	TRUE	Hyperplastic polyps _ Ischemia	211 _ 414	dm	TRUE	TRUE
Ulcerative colitis	Lymphocytic colitis 2	556	558	diseases of the digestive system	diseases of the digestive system	Ulcerative colitis	Lymphocytic colitis	0.224782315571642	6.6376611206832e-82	5.68191172234716e-81	TRUE	Lymphocytic colitis _ Ulcerative colitis	556 _ 558	dm	TRUE	TRUE
Ulcerative colitis	Huntington's disease 2	556	333	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcerative colitis	Huntington's disease	0.223005535953984	5.18731455511109e-99	5.41962177182853e-98	FALSE	Huntington's disease _ Ulcerative colitis	333 _ 556	dm	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Familial dysautonomia 1	359	742	diseases of the nervous system and sense organs	congenital anomalies	Facioscapulohumeral muscular dystrophy	Familial dysautonomia	0.221617184170746	2.04846499127558e-37	9.63091288646284e-37	TRUE	Facioscapulohumeral muscular dystrophy _ Familial dysautonomia	359 _ 742	dm	TRUE	TRUE
Ulcerative colitis	Keratoconus 2	556	371	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcerative colitis	Keratoconus	0.217235136507916	1.76034764558602e-76	1.40988051354542e-75	FALSE	Keratoconus _ Ulcerative colitis	371 _ 556	dm	TRUE	TRUE
Borrelia burgdorferi infection	Rheumatoid arthritis 2	88	714	infectious and parasitic diseases	diseases of the musculoskeletal system and connective tissue	Borrelia burgdorferi infection	Rheumatoid arthritis	0.216548303970227	5.26973733837366e-75	4.15573780627956e-74	TRUE	Borrelia burgdorferi infection _ Rheumatoid arthritis	88 _ 714	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Facioscapulohumeral muscular dystrophy 2	516	359	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Facioscapulohumeral muscular dystrophy	0.215064912791952	4.40680180498479e-69	3.21772285914657e-68	TRUE	Facioscapulohumeral muscular dystrophy _ Idiopathic pulmonary fibrosis	359 _ 516	dm	TRUE	TRUE
Sessile serrated polyps	Ischemia 1	211	414	neoplasms	diseases of the circulatory system	Sessile serrated polyps	Ischemia	0.212944732653499	7.86295607842642e-30	3.23608062058325e-29	TRUE	Ischemia _ Sessile serrated polyps	211 _ 414	dm	TRUE	TRUE
Breast cancer	TRUE; tiene que ver con la edad, https://www.sciencedirect.com/science/article/pii/S0923753422006901 We observed an increased risk of cancer among individuals with ASD, up to age 30 years, compared with individuals free of ASD. También en cancer de tiroides y papilary de tiroides significatuvo	174	193	neoplasms	neoplasms	Breast cancer	Papillary thyroid cancer	0.211932577836372	1.0112499487235e-95	1.01272982669724e-94	FALSE	Breast cancer _ Papillary thyroid cancer	174 _ 193	dm	FALSE	TRUE
Chronic lymphocytic leukemia	Smoker 2	204	305	neoplasms	mental disorders	Chronic lymphocytic leukemia	Smoker	0.210770105982452	4.64548179326301e-21	1.54698688103308e-20	FALSE	Chronic lymphocytic leukemia _ Smoker	204 _ 305	dm	FALSE	TRUE
Amyotrophic lateral sclerosis	Multiple sclerosis 2	335	340	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Amyotrophic lateral sclerosis	Multiple sclerosis	0.210576967246832	2.51312180844622e-06	4.82942814921069e-06	TRUE	Amyotrophic lateral sclerosis _ Multiple sclerosis	335 _ 340	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Post-traumatic stress disorder 2	204	309	neoplasms	mental disorders	Chronic lymphocytic leukemia	Post-traumatic stress disorder	0.209665173089892	7.60230573797367e-12	1.88648674617969e-11	FALSE	Chronic lymphocytic leukemia _ Post-traumatic stress disorder	204 _ 309	dm	TRUE	TRUE
Ulcer	Chronic obstructive pulmonary disease 1	569	496	diseases of the digestive system	diseases of the respiratory system	Ulcer	Chronic obstructive pulmonary disease	0.209476962932263	3.29209692149216e-98	3.39916595800003e-97	TRUE	Chronic obstructive pulmonary disease _ Ulcer	496 _ 569	dm	TRUE	TRUE
Breast cancer	Facioscapulohumeral muscular dystrophy 5	174	359	neoplasms	diseases of the nervous system and sense organs	Breast cancer	Facioscapulohumeral muscular dystrophy	0.209199104820768	1.27161252361725e-84	1.12365301764112e-83	FALSE	Breast cancer _ Facioscapulohumeral muscular dystrophy	174 _ 359	dm	FALSE	FALSE
Kaposi's sarcoma	Glioblastoma 1	176	191	neoplasms	neoplasms	Kaposi's sarcoma	Glioblastoma	0.208235821450423	1.23605750836406e-97	1.26881303233571e-96	FALSE	Glioblastoma _ Kaposi's sarcoma	176 _ 191	dm	TRUE	TRUE
Papillary thyroid cancer	Lung cancer 1	193	162	neoplasms	neoplasms	Papillary thyroid cancer	Lung cancer	0.207572125757272	2.4167387442027e-82	2.07886786669615e-81	FALSE	Lung cancer _ Papillary thyroid cancer	162 _ 193	dm	TRUE	TRUE
Autism	Multiple sclerosis 2	299	340	mental disorders	diseases of the nervous system and sense organs	Autism	Multiple sclerosis	0.206553184319399	3.66979978278618e-06	6.98032639350837e-06	FALSE	Autism _ Multiple sclerosis	299 _ 340	dm	TRUE	TRUE
Breast cancer	Myotonic dystrophy 1	174	359	neoplasms	diseases of the nervous system and sense organs	Breast cancer	Myotonic dystrophy	0.199812487753976	3.25167354782233e-77	2.62134258914107e-76	FALSE	Breast cancer _ Myotonic dystrophy	174 _ 359	dm	FALSE	FALSE
Coeliac disease	Hyperplastic polyps 2	579	211	diseases of the digestive system	neoplasms	Coeliac disease	Hyperplastic polyps	0.199617745562085	5.44165425098746e-53	3.20872652291352e-52	TRUE	Coeliac disease _ Hyperplastic polyps	211 _ 579	dm	TRUE	TRUE
Papillary thyroid cancer	Liver cancer 2	193	155	neoplasms	neoplasms	Papillary thyroid cancer	Liver cancer	0.195758479457015	2.84875354155301e-66	2.01788074323461e-65	FALSE	Liver cancer _ Papillary thyroid cancer	155 _ 193	dm	TRUE	TRUE
Parkinson's disease	Ischemia 1	332	414	diseases of the nervous system and sense organs	diseases of the circulatory system	Parkinson's disease	Ischemia	0.195594195055348	2.9984651797401e-40	1.47917877789502e-39	TRUE	Ischemia _ Parkinson's disease	332 _ 414	dm	TRUE	TRUE
Ulcerative colitis	Ischemia 1	556	414	diseases of the digestive system	diseases of the circulatory system	Ulcerative colitis	Ischemia	0.194846788806594	8.46992371725896e-62	5.61531325883724e-61	TRUE	Ischemia _ Ulcerative colitis	414 _ 556	dm	TRUE	TRUE
Post-traumatic stress disorder	Eosinophilic esophagitis 2	309	530	mental disorders	diseases of the digestive system	Post-traumatic stress disorder	Eosinophilic esophagitis	0.193165827622673	3.68679898537803e-52	2.15130222178525e-51	TRUE	Eosinophilic esophagitis _ Post-traumatic stress disorder	309 _ 530	dm	TRUE	TRUE
Familial dysautonomia	Ischemia 1	742	414	congenital anomalies	diseases of the circulatory system	Familial dysautonomia	Ischemia	0.191775964328696	1.45569014644828e-10	3.42852604664435e-10	FALSE	Familial dysautonomia _ Ischemia	414 _ 742	dm	TRUE	TRUE
Colorectal cancer	Prostate cancer 1	153	185	neoplasms	neoplasms	Colorectal cancer	Prostate cancer	0.190988257168683	2.66892677712003e-08	5.68589416128753e-08	FALSE	Colorectal cancer _ Prostate cancer	153 _ 185	dm	FALSE	TRUE
Sessile serrated polyps	Crohn's disease 2	211	555	neoplasms	diseases of the digestive system	Sessile serrated polyps	Crohn's disease	0.1909777569717	1.27434539288162e-81	1.08632432868621e-80	TRUE	Crohn's disease _ Sessile serrated polyps	211 _ 555	dm	TRUE	TRUE
Ulcer	Hyperplastic polyps 4	569	211	diseases of the digestive system	neoplasms	Ulcer	Hyperplastic polyps	0.190832528468755	5.72357737373704e-70	4.22426759075451e-69	TRUE	Hyperplastic polyps _ Ulcer	211 _ 569	dm	TRUE	TRUE
Sessile serrated polyps	Colorectal cancer 5	211	153	neoplasms	neoplasms	Sessile serrated polyps	Colorectal cancer	0.189459209772005	1.14509012256921e-28	4.59253693076667e-28	TRUE	Colorectal cancer _ Sessile serrated polyps	153 _ 211	dm	TRUE	TRUE
Papillary thyroid cancer	Myotonic dystrophy 1	193	359	neoplasms	diseases of the nervous system and sense organs	Papillary thyroid cancer	Myotonic dystrophy	0.1893188075696	1.1265254635932e-13	2.99321412004768e-13	FALSE	Myotonic dystrophy _ Papillary thyroid cancer	193 _ 359	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Idiopathic pulmonary fibrosis 1	416	516	diseases of the circulatory system	diseases of the respiratory system	Familial pulmonary arterial hypertension	Idiopathic pulmonary fibrosis	0.188785741648892	1.01284570706333e-63	6.91204067568208e-63	TRUE	Familial pulmonary arterial hypertension _ Idiopathic pulmonary fibrosis	416 _ 516	dm	TRUE	TRUE
Ulcer	Multiple sclerosis 3	569	340	diseases of the digestive system	diseases of the nervous system and sense organs	Ulcer	Multiple sclerosis	0.188146439317858	1.15916020760297e-43	6.06564801922405e-43	TRUE	Multiple sclerosis _ Ulcer	340 _ 569	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Smoker 1	416	305	diseases of the circulatory system	mental disorders	Familial pulmonary arterial hypertension	Smoker	0.187657213420011	3.67703284124364e-19	1.16947303223442e-18	TRUE	Familial pulmonary arterial hypertension _ Smoker	305 _ 416	dm	TRUE	TRUE
Lung cancer	Schizophrenia 2	162	295	neoplasms	mental disorders	Lung cancer	Schizophrenia	0.187518384786482	4.70344088050909e-65	3.27327597548649e-64	FALSE	Lung cancer _ Schizophrenia	162 _ 295	dm	FALSE	TRUE
Kaposi's sarcoma	Breast cancer 2	176	174	neoplasms	neoplasms	Kaposi's sarcoma	Breast cancer	0.187270165463661	7.93249362606223e-82	6.78558725596073e-81	FALSE	Breast cancer _ Kaposi's sarcoma	174 _ 176	dm	FALSE	TRUE
Ulcer	Smoker 2	569	305	diseases of the digestive system	mental disorders	Ulcer	Smoker	0.186655687324492	5.48316515346168e-44	2.87901229157464e-43	FALSE	Smoker _ Ulcer	305 _ 569	dm	TRUE	TRUE
