Dis1	Dis2	RR_99perc_left_bound
42	176	340.607801590723
42	305	1.70418784816375
42	359	1.08174102687207
42	516	1.88573230175306
42	530	1.14253219883562
42	556	1.21133469098923
42	558	2.56595225489068
42	579	1.32653465091309
88	332	1.01014500713954
88	333	1.14045392118484
88	334	2.30139344022484
88	335	4.8253168033157
88	340	1.33078200479486
88	359	3.00377456015229
88	555	1.22321326082355
88	558	1.08732792824293
88	710	2.17637915436851
88	714	1.58039140070575
153	155	2.45102159381447
153	211	6.71745027808324
153	556	1.18614580224845
153	558	1.68083613591396
153	569	4.01338224067183
153	579	2.26836868576119
153	759	1.63114424496125
155	162	2.04265168719984
155	191	2.09918565612672
155	211	2.41603980585633
155	305	1.41568245577188
155	496	1.13675315763469
155	530	1.21623879646301
155	558	1.66583774822312
155	569	1.37238186281083
155	579	2.09116769498085
155	759	1.1299241837434
162	176	1.47565178938643
162	191	3.80908630115549
162	204	1.08466723055303
162	305	2.75607638794168
162	309	1.13013784251843
162	334	1.2481423237531
162	359	1.54717912883456
162	416	1.50467944449647
162	493	1.22728699452636
162	496	2.9121678894927
162	516	2.52605733110535
162	530	1.14636326217191
162	759	1.65244072134305
176	211	1.16936374713629
176	359	2.11909911424981
176	414	1.09887266096277
176	416	1.71188917984249
176	493	1.18828908670275
176	496	1.34150382245154
176	530	1.07861954059905
176	556	2.38956011970154
176	558	1.82283341297258
176	710	1.40955740984387
176	714	1.35850132574595
185	204	1.02439361714397
185	496	1.11559640610253
185	569	1.05399867414153
191	305	1.0777871317092
191	309	1.37716983593623
191	334	1.43624804326555
191	335	1.33838892771052
191	359	3.08335176962663
191	742	1.15842714105933
193	759	3.47358797474511
204	359	1.29071869698428
204	496	1.15364782340843
204	516	2.24344811186072
204	558	1.37261118980212
204	569	1.05360001520699
204	742	1.80106100887196
204	759	1.74086954512879
211	296	1.27036809924017
211	305	1.15532684231365
211	309	1.32214394924594
211	333	1.10532674676176
211	334	1.17030413255675
211	359	1.25130694547547
211	414	1.04680617776453
211	416	1.28576913725622
211	425	1.2007433114899
211	493	1.24897690206242
211	496	1.33759981172615
211	516	1.04283395162895
211	530	2.22606349050535
211	555	2.63886149793009
211	556	3.50343465026975
211	558	2.36343473321245
211	569	6.38174112055276
211	579	2.52597538781489
211	710	1.2867328585383
211	714	1.02385287655614
211	742	1.3384138970464
211	759	1.52136230720932
295	296	9.22621924390272
295	299	6.70389843846849
295	305	1.89064660931945
295	309	3.15714279220222
295	332	4.27957585945222
295	333	14.297964514841
295	493	1.01265956856629
295	496	1.29771070119845
295	530	1.0675222344352
295	558	1.0200997179804
295	569	1.07460773406791
295	742	1.12523862667868
295	758	1.93503723034713
296	299	2.88002184880767
296	305	2.63770448262503
296	309	10.0405287260533
296	332	3.33589780628666
296	333	6.62512662138684
296	334	2.50428935670668
296	335	1.39313880544758
296	359	1.6699703988896
296	416	1.09921440092011
296	425	1.08277750668308
296	493	1.2583481645759
296	496	1.32414365960656
296	516	1.06909734498075
296	530	1.61590198229834
296	555	1.21265470494262
296	556	1.29761259015389
296	558	1.57455682631816
296	569	1.21303995624644
296	579	1.59822357225971
296	710	1.43951416000325
296	714	1.05143485466876
296	742	1.12956761201045
299	332	1.46758050401687
299	333	2.34111267982557
299	742	3.86258291395707
299	758	13.8179657705141
305	309	3.20203872718085
305	333	1.59272777332286
305	334	3.18303292321987
305	359	1.70245537669022
305	414	1.22459215116974
305	416	2.33563159250769
305	425	1.47630661163219
305	493	1.76455352108079
305	496	2.84709604830128
305	516	1.44807222693484
305	530	1.34513215271064
305	558	1.13314302529272
305	579	1.25081930728906
305	759	1.04038020520635
309	332	1.87284841843052
309	333	3.69654098347328
309	334	2.69797084919593
309	335	1.61830730768878
309	340	1.33013476537813
309	359	2.56768574766921
309	414	1.21887797360456
309	416	1.76471257845744
309	425	1.45605904861477
309	493	1.72058931889972
309	496	1.54496443380583
309	516	1.27171170619984
309	530	1.91731441845069
309	555	1.09280126400851
309	556	1.17972346953185
309	558	1.89558079010926
309	569	1.39756654873206
309	579	1.98792313693996
309	710	1.4284810653533
309	714	1.19656590690822
309	742	1.22424082816653
332	333	8.99083115457758
332	334	2.28528110924331
332	335	2.93107778758373
332	359	1.21519927019112
332	414	1.00700531571733
332	530	1.33615177171825
332	556	1.13897593043543
332	558	1.22872189530882
332	569	1.09659373258457
332	742	1.43204981563389
333	334	7.77848246465778
333	335	2.65109563627544
333	359	2.38688365057209
333	416	1.20895815324117
333	493	1.37349064912993
333	496	1.29964759429386
333	516	1.1701240838146
333	530	1.67926776398157
333	558	1.58969653895044
333	569	1.14323551756846
333	579	1.3970605901152
333	710	1.30376059262754
333	714	1.01324398471107
333	742	1.7864045528011
334	335	4.02008649723131
334	340	4.18050248557784
334	359	5.603263672793
334	496	1.36238903417809
334	530	1.28616101320506
334	558	1.34349512247188
334	579	1.26760065110803
334	710	1.04146600348569
334	742	2.34392049450585
335	340	5.96042099190039
335	359	9.84382356639737
335	496	1.14499058265747
335	530	1.49833872813967
335	558	1.19468893930099
335	569	1.03384448798879
335	710	1.19266274415209
340	359	5.99562753882499
340	556	1.09696180344476
340	558	1.13137857657177
340	569	1.00466406948788
340	710	1.1392975244472
359	414	1.03889332434308
359	416	4.13846996308927
359	425	2.234167708138
359	493	3.22048364567735
359	496	1.98694780038695
359	516	4.53760915567248
359	530	1.73522441537178
359	555	2.68572578699982
359	556	2.81025304549904
359	558	1.85356904410308
359	569	1.45954622384026
359	579	2.14478519525573
359	710	15.7117098284736
359	714	3.58414879039587
359	742	1.75389591017418
371	710	1.35211572249391
371	714	1.19490791014984
371	758	1.04666857693024
414	416	1.62710395154253
414	425	2.06163723302951
414	493	1.18495173393062
414	496	1.39818663924614
414	516	1.22298976739122
414	530	1.34578470007029
414	556	1.04361615506981
414	558	1.18782399092277
414	569	1.0295999751127
414	710	1.04258381723506
416	425	4.7858312416748
416	493	3.49690773609868
416	496	3.52787926162308
416	516	5.53765997137314
416	530	1.36437181309292
416	558	1.4303947685296
416	569	1.24263767647357
416	579	1.26913150761864
416	710	2.25031376849346
416	714	1.11738332811296
416	742	1.00436654374764
425	493	1.59446468955466
425	496	1.96409987888829
425	516	1.8513843171505
425	530	1.19470655392611
