Gene Symbol	logFC	adj p-value
ENSG00000131477	-2.66905847101825	4.64755357185935e-62
ENSG00000120156	-3.2115039314346	3.56652029670131e-59
ENSG00000150625	-3.37874018032826	4.54249011827851e-59
ENSG00000263155	-3.55791861131253	8.9397458768937e-58
ENSG00000168309	-3.93872178902299	1.92146807320522e-56
ENSG00000171132	-2.12380808449517	9.99499729718853e-55
ENSG00000136160	-3.55660729589604	1.96643004878025e-54
ENSG00000105227	-3.25113526945636	1.77181144322439e-53
ENSG00000170989	-2.4465931130605	6.17713907904314e-51
ENSG00000103241	-2.65986712686811	9.02812350382468e-51
ENSG00000135604	-2.50580569402219	2.83409383867611e-50
ENSG00000122679	-3.22240508021852	1.03421981208559e-49
ENSG00000198844	-2.57749035558866	2.31930073051773e-49
ENSG00000268388	-3.94339070705803	8.59717471861228e-49
ENSG00000154133	-2.60358171473814	1.65458858136058e-47
ENSG00000120279	-2.27704038430397	1.45227479808605e-46
ENSG00000108381	-2.14369346769944	4.75243461658417e-46
ENSG00000154721	-2.38276753891957	3.80422279768916e-45
ENSG00000010319	-2.92240750114136	3.80422279768916e-45
ENSG00000091106	-2.19832414240809	4.74015765410238e-45
ENSG00000249751	-2.01955534238772	2.03719377747875e-44
ENSG00000164035	-2.5197384649183	3.57219136926852e-44
ENSG00000166292	-4.5974814035504	2.02660091359658e-43
ENSG00000182010	-3.6288773091748	1.36338792785862e-42
ENSG00000115306	-1.86133869853509	2.13931127854254e-42
ENSG00000165810	-3.68922694047729	3.04048930372576e-42
ENSG00000169744	-2.23894973547392	7.15585367661701e-42
ENSG00000133800	-2.87901055742571	1.34186908493938e-41
ENSG00000047648	-2.19692478396683	1.37347077695836e-41
ENSG00000179776	-2.47816731575047	8.58550329014968e-40
ENSG00000169418	-2.82866822871936	8.7026099045684e-40
ENSG00000132622	-2.33659467891112	1.86786121815415e-39
ENSG00000154783	-2.03661195075483	3.18988662966371e-39
ENSG00000176435	-2.19963603892567	6.14584001459741e-39
ENSG00000169252	-2.6507637054321	1.11265310736127e-38
ENSG00000118526	-3.37733214744327	1.50386832606172e-38
ENSG00000173269	-1.62049836568152	1.50386832606172e-38
ENSG00000123119	-2.89652826083718	1.85874481458484e-38
ENSG00000072163	-2.65202627740736	2.03902775294773e-38
ENSG00000139567	-2.12459617613991	4.15484768442591e-38
ENSG00000162367	-2.410309222697	4.81274660728591e-38
ENSG00000150048	-1.92509832993604	4.85763107782806e-38
ENSG00000116194	-2.68376120240314	6.54966484960572e-38
ENSG00000267107	-2.1918358968273	2.12544522424469e-37
ENSG00000130052	-1.6160469022452	3.65736812546482e-37
ENSG00000171115	-2.34476094643016	4.53447093591173e-37
ENSG00000121691	-1.97035097106922	6.55026706032114e-37
ENSG00000135363	-1.89987615043709	8.11365545712304e-37
ENSG00000025423	-3.49667488168309	8.5412889995255e-37
ENSG00000070778	-2.01038788077017	1.13996663638241e-36
ENSG00000141338	-3.00477623613127	2.03674086042337e-36
ENSG00000122694	-2.08788984018967	2.39420854086826e-36
ENSG00000064989	-2.54924496045139	4.0190095956696e-36
ENSG00000022267	-3.28457257657226	4.82667396375139e-36
ENSG00000114812	-3.39376914140794	7.64983614220384e-36
ENSG00000136114	-2.2327448896037	3.06700614220778e-35
ENSG00000163788	-1.23588755598579	3.42106937213102e-35
ENSG00000114378	-2.87949123316753	3.63184162056818e-35
ENSG00000198873	-1.90824201859497	6.40257374882233e-35
ENSG00000167261	-2.30202868384387	9.48789629460609e-35
ENSG00000177303	-1.74087944120118	6.83058043364792e-34
ENSG00000116016	-2.70529509489239	8.12852670638871e-34
ENSG00000143110	-2.06891303565049	1.11953644582819e-33
ENSG00000102760	-2.25848091781188	1.93550111319512e-33
ENSG00000066056	-2.09108121524406	2.33965817222025e-33
ENSG00000204176	-2.1233673281978	3.43822450017894e-33
ENSG00000183019	-3.90943355785306	4.57811699418604e-33
ENSG00000133121	-1.59566100201344	4.8545322657701e-33
ENSG00000073910	-2.51477909339047	8.94994785011213e-33
ENSG00000137824	-1.18351688007408	9.16638390016409e-33
ENSG00000168952	-3.00451587875144	9.2735902099009e-33
ENSG00000148671	-3.112492558842	1.30904829763768e-32
ENSG00000127329	-2.65312488257291	1.41832585314425e-32
ENSG00000241644	-3.66715291363969	1.44147671982293e-32
ENSG00000171056	-2.60279960155652	2.56711938563248e-32
ENSG00000213203	-2.01073027728562	2.68698569756325e-32
ENSG00000189367	-3.2005553943326	2.83024668728668e-32
ENSG00000282833	-1.86546126109335	4.5919461502513e-32
ENSG00000112137	-1.86541296162001	4.5919461502513e-32
ENSG00000156218	-1.75309027648021	5.06472833964166e-32
ENSG00000135218	-2.94983014193957	1.43543761142406e-31
ENSG00000197415	-3.13608206718157	2.82454172340908e-31
ENSG00000146966	-1.8312397352631	3.16541814319178e-31
ENSG00000087589	-1.99808217790693	3.21212018957934e-31
ENSG00000106034	-1.96246742321685	6.18236927406779e-31
ENSG00000123243	-2.61363859569638	1.18802551912585e-30
ENSG00000031081	-2.0655465057468	1.82284082177864e-30
ENSG00000095370	-2.17608367476362	1.85246680114548e-30
ENSG00000150977	-1.2165643537829	4.15638675433254e-30
ENSG00000168497	-3.30007749136695	4.88004758774918e-30
ENSG00000153823	-2.38824602354487	5.67542137278578e-30
ENSG00000111961	-1.54730129245571	5.97298066226237e-30
ENSG00000185291	-1.90242442366512	8.93965063410344e-30
ENSG00000166265	-1.90760028435798	1.12456648191587e-29
ENSG00000172322	-2.35831255522581	2.60638111644716e-29
ENSG00000175084	-3.51915126273466	2.69783036065492e-29
ENSG00000154127	-2.01338296381752	4.98707726958038e-29
ENSG00000137834	-2.19237785787854	5.64909435460215e-29
ENSG00000069702	-2.28065646893474	7.26201855079146e-29
ENSG00000165072	-3.56985534653525	1.04305072381906e-28
ENSG00000149564	-2.13136564120681	1.12573299131891e-28
ENSG00000115602	-3.18853229117555	1.14161713703782e-28
ENSG00000241978	-1.96587450224987	1.6828339660935e-28
ENSG00000019169	-3.85221556855235	1.75588329442391e-28
ENSG00000105383	-1.64523706299553	2.03471079876248e-28
ENSG00000108387	-1.53031510073099	2.11924461409518e-28
ENSG00000154330	-2.10733014233552	2.19713576876726e-28
ENSG00000144218	-2.49432057457044	2.60620978602872e-28
ENSG00000143382	-1.98634574210302	3.01900498231092e-28
ENSG00000169442	-2.55637695870437	3.04387295982408e-28
ENSG00000126785	-1.71135271016913	3.68051554468862e-28
ENSG00000112799	-1.90990769299864	5.54001950884578e-28
ENSG00000213853	-2.12559127649597	5.54001950884578e-28
ENSG00000106688	-2.62302156413644	5.54001950884578e-28
ENSG00000113555	-1.78735644055596	6.2738226991367e-28
ENSG00000162407	-1.47475050137513	6.81201220663614e-28
ENSG00000161940	-1.6292432650919	6.95872255733204e-28
ENSG00000165312	-1.3479546149164	6.92221986451217e-28
ENSG00000151718	-1.89052597990214	6.92221986451217e-28
ENSG00000157510	-1.47247691784951	7.57896434528763e-28
ENSG00000127920	-2.04744305790966	1.01935904791808e-27
ENSG00000144331	-3.28789159013345	1.11439853210253e-27
ENSG00000118785	4.96033485282052	1.13518619235368e-27
ENSG00000132170	-2.27506510086322	1.30348810014666e-27
ENSG00000204136	-1.75145403975238	1.41635632412565e-27
ENSG00000187800	-1.71453760637443	1.71721090138642e-27
ENSG00000105974	-3.03243266631464	1.71328821002214e-27
ENSG00000085265	-2.47873104692803	1.84426383546849e-27
ENSG00000151702	-1.61952697870029	1.95614253227004e-27
ENSG00000135929	-2.45755763969805	2.97988188453862e-27
ENSG00000276644	-2.44315399033448	3.52965869929899e-27
ENSG00000091428	-1.5854343925941	3.52372365296215e-27
ENSG00000244734	-3.39702784217166	3.52293301971827e-27
ENSG00000182253	-1.69061442056094	4.30080946027689e-27
ENSG00000141448	-1.87424257463261	5.02341459227689e-27
ENSG00000112782	-3.724513907304	9.78131933385195e-27
ENSG00000133561	-1.94625693367764	1.97376381900622e-26
ENSG00000277101	-2.20605874396479	2.53186796900459e-26
ENSG00000059573	1.38220805131395	2.494804549505e-26
ENSG00000144843	-1.45331447511153	2.53186796900459e-26
ENSG00000154188	-2.32547059316609	2.75220045471309e-26
ENSG00000197471	-2.30205226604581	3.70731080597207e-26
ENSG00000127528	-1.95640921462773	7.8242353547087e-26
ENSG00000164932	4.30358878379993	7.8242353547087e-26
ENSG00000152580	-3.12189635567867	1.0473564485239e-25
ENSG00000128268	-2.90142659356377	1.31762862821086e-25
ENSG00000171522	-1.69878732455108	1.63432654026263e-25
ENSG00000168329	-2.56881257325312	1.76819000465016e-25
ENSG00000038945	-2.13710776888724	2.60279638415196e-25
ENSG00000168907	-3.23952469465202	2.63404532793883e-25
ENSG00000125810	-1.83268007745575	2.60279638415196e-25
ENSG00000206384	-2.77314819677824	2.63404532793883e-25
ENSG00000066405	-5.49998909183356	3.17724904976115e-25
ENSG00000164161	-3.77602130432579	4.27853811922146e-25
ENSG00000076555	-1.18772638174256	4.60365494035512e-25
ENSG00000058335	-3.46085243866367	6.55930426860517e-25
ENSG00000111058	-2.01168864843591	6.7490368038867e-25
ENSG00000179144	-1.90755882530438	6.7490368038867e-25
ENSG00000186417	-2.32978422651862	7.57591328657899e-25
ENSG00000135063	-2.89263656539674	8.09370850719855e-25
ENSG00000131831	-1.85005759380042	8.3269979792787e-25
ENSG00000183287	-2.36245732485333	9.34962154541238e-25
ENSG00000000938	-1.89683649691443	1.10370227052593e-24
ENSG00000197405	-1.72608322495641	1.21075950841536e-24
ENSG00000111052	-1.98019462378499	2.55738894741689e-24
ENSG00000144655	-1.89194364179397	2.63972835534708e-24
ENSG00000129467	-1.69119355366384	3.48549151155685e-24
ENSG00000112419	-1.34491719468941	3.58068339748784e-24
ENSG00000165495	-2.11572610819672	4.50997289834175e-24
ENSG00000137573	3.15680473274656	5.44816928661548e-24
ENSG00000157554	-1.69607673438904	6.20579531343824e-24
ENSG00000214013	-1.23223597549755	6.77516583568509e-24
ENSG00000101695	-1.3826631550536	9.81412355840592e-24
