Gene Symbol	logFC	adj p-value
ENSG00000166803	2.26560515071924	4.91643956320375e-52
ENSG00000117724	3.60639066744695	4.91759253801142e-52
ENSG00000104889	1.72144895255543	2.28400754377572e-51
ENSG00000101412	2.87515893066992	2.04901881358634e-50
ENSG00000109756	-1.74958265189725	1.06953565991433e-49
ENSG00000160957	2.41787031479287	3.10407809032482e-49
ENSG00000166851	3.15545621475689	7.9778951447469e-49
ENSG00000013810	2.31453139506206	9.91418364428458e-49
ENSG00000111206	2.83212433414845	7.91541283082936e-48
ENSG00000076382	2.56816401168863	7.91541283082936e-48
ENSG00000113810	2.1463368117264	8.50984947488612e-48
ENSG00000079462	2.27876671859722	2.0260766769833e-47
ENSG00000092853	3.01700848604387	2.72424905494338e-47
ENSG00000167900	3.12131689401255	5.9236053026052e-47
ENSG00000134057	2.76270390236589	1.32617782706089e-46
ENSG00000075218	2.75579777564881	1.39615676446894e-46
ENSG00000137807	2.36395171868579	3.15579382976013e-46
ENSG00000138778	3.26916312198878	4.78039275078375e-46
ENSG00000131747	4.13985771099353	5.78873046265075e-46
ENSG00000137804	2.34929071612214	7.90578294466675e-46
ENSG00000148773	4.14134575702718	1.6540704165e-45
ENSG00000138160	2.54482026858837	1.6540704165e-45
ENSG00000088325	3.81426916620208	1.6540704165e-45
ENSG00000183856	3.89251335049332	2.27899932073111e-45
ENSG00000140525	1.57829292303859	4.16162245305708e-45
ENSG00000075702	1.72972422366112	2.76711154442257e-44
ENSG00000116016	-3.36969027390154	3.86335486859322e-44
ENSG00000189057	2.80957167916585	4.59570988882924e-44
ENSG00000136158	-2.48554835198667	5.08451330929074e-44
ENSG00000139946	-2.45479150738016	5.08451330929074e-44
ENSG00000136141	-1.24756084650459	5.71979174769284e-44
ENSG00000136848	-1.75963764194773	6.57387316319151e-44
ENSG00000134222	2.22592312031473	1.27907723263685e-43
ENSG00000101003	2.23933016016682	1.36794031029168e-43
ENSG00000198901	2.27984133622047	2.48033847185696e-43
ENSG00000119333	1.70874536685021	5.00008554577426e-43
ENSG00000167601	-2.20318016046121	6.48241463673335e-43
ENSG00000150938	-2.63301206939743	8.28505448930306e-43
ENSG00000122952	2.87395674596929	1.42071732833918e-42
ENSG00000123219	1.7635515875802	1.9944994441343e-42
ENSG00000162407	-2.37613620605156	2.6203196263469e-42
ENSG00000100154	-2.10524333492721	3.25087154846831e-42
ENSG00000160298	1.96494880490009	3.47549977676895e-42
ENSG00000103647	-2.73774898686867	9.19813931991914e-42
ENSG00000187951	1.83690557903365	1.25201223901192e-41
ENSG00000068489	2.48373579168772	1.60519006737297e-41
ENSG00000099204	-1.68587388841371	1.74982831819147e-41
ENSG00000069702	-3.26008423362654	2.47104440688745e-41
ENSG00000162073	2.11723736955129	8.43080733307741e-41
ENSG00000138685	-2.91885848599792	8.43080733307741e-41
ENSG00000138182	1.6380474198645	1.01065265536128e-40
ENSG00000177119	-1.99474936354879	1.77111347650071e-40
ENSG00000130520	1.44707374991139	1.86162131080791e-40
ENSG00000109686	-2.2408390704826	3.44522244832088e-40
ENSG00000113580	-1.81322025345153	1.90804678114512e-39
ENSG00000133687	-2.62186887274683	2.28790162049529e-39
ENSG00000151623	-2.38157733949442	2.34802694752162e-39
ENSG00000224470	-1.05381697009287	2.88459158908759e-39
ENSG00000149554	1.53258825362307	3.68344268056603e-39
ENSG00000131386	-3.51519798475817	4.53138883362683e-39
ENSG00000104522	1.53509090629838	8.01789410966485e-39
ENSG00000276043	2.78466243647712	8.17038875086216e-39
ENSG00000142910	-2.01228703657221	8.17038875086216e-39
ENSG00000162413	-1.9523056775958	9.03414978717029e-39
ENSG00000165801	-1.60969658956351	1.2120839487458e-38
ENSG00000274684	1.13686241891085	1.24428293736383e-38
ENSG00000153406	1.13685164763773	1.24519851137325e-38
ENSG00000159055	1.4567294266816	1.62560930419598e-38
ENSG00000164885	1.40498694206208	2.07264705068711e-38
ENSG00000145391	-1.51097541017001	2.59838681669796e-38
ENSG00000189159	2.43028864856504	2.82190098545028e-38
ENSG00000213186	1.73912227815706	3.04138136141879e-38
ENSG00000079616	1.41939971855709	3.59452457974558e-38
ENSG00000149636	1.31881524536271	3.88846594173323e-38
ENSG00000186642	-3.74534998352156	3.88846594173323e-38
ENSG00000163513	-2.87676177128686	4.23902658951655e-38
ENSG00000278243	1.48986061192982	8.33233377698669e-38
