Gene Symbol	logFC	adj p-value
ENSG00000131477	-2.64060106956067	2.0325075581505e-51
ENSG00000120156	-3.18609055526323	2.12936917179676e-51
ENSG00000150625	-3.37587556223035	9.25618785739744e-50
ENSG00000263155	-3.51710085210741	2.90764746326088e-48
ENSG00000136160	-3.50779456587293	1.27308377309653e-46
ENSG00000168309	-3.85867869261397	7.75552958320444e-46
ENSG00000171132	-2.10257797834178	3.0334069000803e-44
ENSG00000135604	-2.49549776922181	3.0334069000803e-44
ENSG00000170989	-2.39529395097798	1.08067628136362e-43
ENSG00000120279	-2.27588321121502	1.11311532489625e-42
ENSG00000103241	-2.58714487844108	3.46324364051253e-42
ENSG00000198844	-2.45770462569782	1.65588474836057e-41
ENSG00000105227	-3.12199440576481	1.84580188835873e-41
ENSG00000268388	-3.91051826943096	5.16147544646602e-41
ENSG00000122679	-3.05766103335306	1.13443444644427e-40
ENSG00000108381	-2.14125715356914	1.13443444644427e-40
ENSG00000164035	-2.50349130895132	4.14055267817292e-40
ENSG00000154721	-2.37915380383443	1.0055691566072e-39
ENSG00000249751	-1.98025875386448	5.01420650086119e-39
ENSG00000091106	-2.1802730474815	8.92745390590202e-39
ENSG00000115306	-1.83946517494798	2.61053228636591e-38
ENSG00000154133	-2.45300558401984	4.32782639752231e-38
ENSG00000169744	-2.2240489711269	1.01832439628728e-37
ENSG00000133800	-2.89649245282734	5.81966886611739e-37
ENSG00000166292	-4.48943923276947	2.88683519139075e-36
ENSG00000165810	-3.56071893911306	4.47509489433043e-36
ENSG00000010319	-2.80074395183745	9.03743951257392e-36
ENSG00000047648	-2.16352029059366	1.76270412007572e-35
ENSG00000182010	-3.62791172725433	2.40814208518235e-35
ENSG00000135363	-1.90651067497086	2.81006884685239e-35
ENSG00000267107	-2.20711554432373	2.92473639083036e-35
ENSG00000116194	-2.67567423264132	2.92473639083036e-35
ENSG00000179776	-2.4097240714916	4.5793165364127e-35
ENSG00000150048	-1.91523384382529	2.27576445470611e-34
ENSG00000169252	-2.59385234375023	5.39204255670641e-34
ENSG00000064989	-2.56210292450909	8.84365789740188e-34
ENSG00000123119	-2.86595217507936	1.09298769111044e-33
ENSG00000162367	-2.34489749141656	2.7054028690752e-33
ENSG00000121691	-1.97174813353931	3.8810212083113e-33
