Gene Symbol	logFC	adj p-value
ENSG00000115109	-1.82491497178376	5.09169306861861e-19
ENSG00000062038	3.10226131868695	1.08798281021071e-18
ENSG00000114654	-2.12017221751133	9.09674026752005e-18
ENSG00000148671	-1.87608607997282	1.04016625189654e-16
ENSG00000205795	-2.26918274876763	3.37337391790718e-15
ENSG00000150625	-2.72113134609296	3.42794288705802e-15
ENSG00000035664	-1.93442071670681	3.75656208744999e-15
ENSG00000059573	1.22471272684132	3.82521177844448e-15
ENSG00000124920	-2.76032191410454	3.82521177844448e-15
ENSG00000104369	-1.53358492158118	3.82521177844448e-15
ENSG00000170485	1.75000735198638	3.82521177844448e-15
ENSG00000145824	3.55903319777418	3.82521177844448e-15
ENSG00000182010	-4.4974853058403	4.91331157568435e-15
ENSG00000144867	1.23948613814143	4.92703209325069e-15
ENSG00000168542	3.45186597460351	1.22710971109274e-14
ENSG00000006016	2.85847137050394	1.12742012390394e-14
ENSG00000123119	-1.72400814385927	1.58397818153231e-14
ENSG00000160111	-1.45075565575041	1.75817557199968e-14
ENSG00000154065	-2.05401065457623	1.75817557199968e-14
ENSG00000173611	-1.30484017366018	1.79305446045551e-14
ENSG00000165810	-3.16131081955968	1.87505095938075e-14
ENSG00000169252	-1.43932318151329	2.04351285426826e-14
ENSG00000213853	-1.88865705821591	2.04351285426826e-14
ENSG00000099284	0.907520625398639	2.04351285426826e-14
ENSG00000155660	1.16381360091871	2.90801318933224e-14
ENSG00000182326	1.50374983230242	3.41870157373211e-14
ENSG00000146072	1.38967015729019	4.94265293724522e-14
ENSG00000164647	2.81685104472882	5.22417071765221e-14
ENSG00000144218	-1.73618411090209	5.78502314687546e-14
ENSG00000277494	-2.86532117672983	8.68076420497506e-14
ENSG00000132386	1.79072053526313	1.18635600297427e-13
ENSG00000150961	1.17005638707094	1.18635600297427e-13
ENSG00000183010	2.2940705434504	1.16160623842356e-13
ENSG00000189367	-2.14253450153967	1.19837147161126e-13
ENSG00000115361	-2.06199001889178	1.19837147161126e-13
ENSG00000101331	-1.67955674632032	1.26540611357514e-13
ENSG00000187955	2.63968530432781	1.35671298082172e-13
ENSG00000108821	3.38771624118141	1.57396394606257e-13
ENSG00000114854	-2.25206634373108	1.57396394606257e-13
ENSG00000204262	2.36084121749524	1.83531347610856e-13
ENSG00000163359	2.16737540745435	1.95881429911109e-13
ENSG00000176834	-1.32393543092782	2.03746797199835e-13
ENSG00000029153	2.04593025594611	2.05846568807346e-13
ENSG00000262655	1.69955433268556	2.43018932571586e-13
ENSG00000137486	-1.24067239033474	2.59373804529845e-13
ENSG00000186340	2.90993614154275	2.95335814048967e-13
ENSG00000070778	-1.436562050099	3.69034591880147e-13
ENSG00000135063	-2.39309947110417	4.0895258734066e-13
ENSG00000139304	-3.06800608207195	3.9338328532808e-13
ENSG00000123178	-1.15935232929055	4.25359936566383e-13
ENSG00000137673	3.8839479680787	5.7233861941468e-13
ENSG00000084710	-1.63007834273054	5.7233861941468e-13
ENSG00000176771	-2.31789254509522	5.90440071025749e-13
ENSG00000139597	-0.94127044526847	8.61379238866168e-13
ENSG00000115641	2.34792849279567	8.61379238866168e-13
ENSG00000155511	-2.51187095978947	8.82187654359946e-13
ENSG00000146070	2.4452989868432	8.82187654359946e-13
ENSG00000133135	-1.42481899116684	1.16466832954403e-12
ENSG00000105974	-1.61903352250614	1.19373299783383e-12
ENSG00000169291	-1.02655070265861	1.2821260957473e-12
ENSG00000196188	2.29573424290542	1.37001653020471e-12
ENSG00000243566	-2.67409027916882	1.37001653020471e-12
ENSG00000101444	0.729587084568987	1.38365429205071e-12
ENSG00000066027	-0.761626127282282	1.48480046900452e-12
ENSG00000143416	-1.26321264241227	1.48480046900452e-12
ENSG00000166250	1.90158992042569	1.61206637925391e-12
ENSG00000133216	2.17642278537703	1.61206637925391e-12
ENSG00000182199	0.914672243922361	1.63679092828728e-12
ENSG00000171509	-2.75601503020455	1.6275340689311e-12
ENSG00000104267	-1.74915094512652	1.69001192803398e-12
ENSG00000198856	0.776244119856502	1.69001192803398e-12
ENSG00000169255	-1.34535787531763	1.70255516328699e-12
ENSG00000000971	1.73451163532202	1.71947074323018e-12
ENSG00000157734	-2.00184548069941	1.75549438627817e-12
ENSG00000182240	1.35293780120771	1.85018115333471e-12
ENSG00000112699	0.950195110525246	1.98868627371336e-12
ENSG00000166961	-2.44518317662717	2.04074556958664e-12
ENSG00000159403	1.57575306729409	2.04074556958664e-12
ENSG00000110917	0.580176129273427	2.04074556958664e-12
ENSG00000198948	-1.43846504411971	2.04074556958664e-12
ENSG00000053747	-1.56826872289836	2.23233711537543e-12
ENSG00000204176	-1.52685708123257	2.27680893480841e-12
ENSG00000258545	-1.85355921107315	2.14991353592e-12
ENSG00000204291	2.287088738794	2.42720392119775e-12
ENSG00000078114	-1.15721894222151	2.42720392119775e-12
ENSG00000147394	-0.711906210480212	2.56249083796025e-12
ENSG00000033170	0.930463806697179	2.56249083796025e-12
ENSG00000233251	-1.33924598804743	2.56249083796025e-12
ENSG00000124440	-2.28804851244199	2.56749201989786e-12
ENSG00000102934	-1.65722525335771	2.60645086505499e-12
ENSG00000106688	-1.36309582883917	2.84446065948524e-12
ENSG00000188001	-1.3087932403065	3.56952713594999e-12
ENSG00000159708	-2.6463416588547	3.66896462473575e-12
ENSG00000134115	-2.39955597834334	3.70740704374098e-12
ENSG00000198722	-0.985815591068301	3.89992114142886e-12
ENSG00000269113	1.73428818304459	3.75181462549168e-12
ENSG00000143674	-1.36032015584821	4.25662741576452e-12
ENSG00000246430	-2.18401494301371	4.38320889370866e-12
ENSG00000041982	2.36249248463887	5.20861307238087e-12
ENSG00000133401	-1.36450482374265	5.27972641340073e-12
ENSG00000181409	-1.93640152218778	5.61646287154685e-12
ENSG00000152642	-0.83338735440893	5.87573118018072e-12
ENSG00000049323	1.68670354775183	6.16094711804205e-12
ENSG00000107130	2.01453336034313	6.2488686239353e-12
ENSG00000133048	2.58145640303153	6.2488686239353e-12
ENSG00000114378	-1.36048832045674	6.4197121508995e-12
ENSG00000154319	-2.00786379055234	6.54621045316174e-12
ENSG00000025423	-2.03541194116399	6.70393437777171e-12
ENSG00000154096	3.53674335741807	6.86906839751538e-12
ENSG00000178385	-0.921872856579479	7.43366388461275e-12
ENSG00000037280	-1.10454433884823	7.86183041960161e-12
ENSG00000165312	-1.29463911509141	7.95206154513291e-12
ENSG00000162817	-1.06223655749509	9.110679565081e-12
ENSG00000276168	1.32237638887624	9.82538851321315e-12
ENSG00000114790	-1.53608139034612	1.01270130183896e-11
ENSG00000012171	-1.10559162487922	1.01270130183896e-11
ENSG00000163520	1.80250847835227	1.01376964530611e-11
ENSG00000162458	1.72367095524041	1.02554395380429e-11
ENSG00000058262	0.799679974051733	1.06546198801265e-11
ENSG00000115756	-1.15508512893774	1.06546198801265e-11
ENSG00000169583	-1.85937606517503	1.13569476523949e-11
ENSG00000038427	2.39553445265859	1.13569476523949e-11
ENSG00000106537	-1.12494996164928	1.15325783811725e-11
ENSG00000277101	-1.87245827095957	1.17631667653431e-11
