Gene Symbol	logFC	adj p-value
ENSG00000109756	-1.70497235285264	2.05744382716137e-30
ENSG00000136158	-2.62118922526013	1.45785813209575e-29
ENSG00000166803	2.20043671601353	4.82838428998042e-29
ENSG00000160957	2.36970947711847	1.01536117703932e-28
ENSG00000117724	3.39276680064398	1.01536117703932e-28
ENSG00000104889	1.60940745478747	3.54865827632021e-28
ENSG00000079462	2.17003252311647	8.17961143386039e-28
ENSG00000119333	1.73126642820775	1.04778447185423e-27
ENSG00000138685	-2.99381338231455	1.73727980983988e-27
ENSG00000136848	-1.75028864978414	1.73727980983988e-27
ENSG00000013810	2.24199843598362	2.30735362295075e-27
ENSG00000136141	-1.27491140848593	4.49324137894056e-27
ENSG00000101412	2.75169237402904	6.3916984004902e-27
ENSG00000162413	-2.05326492640716	1.12212869120747e-26
ENSG00000111206	2.64672176991873	2.44395324004979e-26
ENSG00000160298	1.98664443202233	2.79118719970874e-26
ENSG00000123219	1.79410709300522	6.35045936512932e-26
ENSG00000076382	2.37138408085632	1.06043588080296e-25
ENSG00000177119	-1.94780098790977	1.06043588080296e-25
ENSG00000166851	2.87074973136516	1.0895598175818e-25
ENSG00000162407	-2.2916360896144	1.57349770193968e-25
ENSG00000167601	-2.0858928737673	1.68382066641737e-25
ENSG00000167900	2.96068751211882	2.14652667307431e-25
ENSG00000139946	-2.28142610590499	2.25377899825491e-25
ENSG00000113810	1.92339408937206	2.42799511588279e-25
ENSG00000131386	-3.40727505085812	3.18337176788687e-25
ENSG00000134222	2.05323409693552	4.37623734412098e-25
ENSG00000140525	1.48161713428953	5.13218024536906e-25
ENSG00000137804	2.24490766266252	5.80039522458554e-25
ENSG00000148773	3.9071158153598	5.85245775585037e-25
ENSG00000149289	-2.41234362860384	5.85245775585037e-25
ENSG00000137807	2.16818328328487	6.79680605315836e-25
ENSG00000122952	2.8992268818348	1.67834745882286e-24
ENSG00000101003	2.13024224041596	1.79173623743611e-24
ENSG00000189057	2.66612288860216	1.81906714442521e-24
ENSG00000103647	-2.52774309578618	1.913047080304e-24
ENSG00000183856	3.64029042386646	1.94813461974894e-24
ENSG00000142910	-2.01610685912551	1.99974977985169e-24
ENSG00000116016	-3.00209028703069	2.17089165251803e-24
ENSG00000131747	3.84114976014057	2.68681668492297e-24
ENSG00000134057	2.52798410114354	3.18521176005669e-24
ENSG00000075702	1.64540765770361	3.30934932542467e-24
ENSG00000099204	-1.61922596009387	3.40287419121042e-24
ENSG00000241978	-2.33820580133037	3.40287419121042e-24
ENSG00000138160	2.3648998340182	3.43186992891848e-24
ENSG00000198053	-1.83567676248359	3.66180912341918e-24
ENSG00000092853	2.78126437942206	5.14782623206636e-24
ENSG00000224470	-1.04799520135802	5.91143149126578e-24
ENSG00000187951	1.74129033380442	6.57168654497323e-24
ENSG00000274684	1.15691235084024	7.92652239411394e-24
ENSG00000153406	1.15690736657746	7.92652239411394e-24
ENSG00000172059	-1.76165968761222	1.11051293473647e-23
ENSG00000150938	-2.45503106641554	1.23611607578211e-23
ENSG00000166025	-2.01953759525193	1.24181593044034e-23
ENSG00000075218	2.49077431168655	1.33509633654495e-23
ENSG00000138778	2.98854055284515	1.4296799249312e-23
ENSG00000142627	-1.95804989238208	2.1173874458854e-23
ENSG00000113580	-1.71016420976395	2.21427729594908e-23
ENSG00000079616	1.40686974426359	2.21427729594908e-23
ENSG00000166046	-1.55132596528428	2.91558075858946e-23
ENSG00000162434	-1.28198838601813	3.34681844023224e-23
ENSG00000114019	-1.92197979958223	3.41342801698979e-23
ENSG00000088325	3.45214830097582	4.04313458510097e-23
ENSG00000129657	-1.41942531519395	4.11834579918363e-23
ENSG00000169683	1.60357354688335	6.16646104619948e-23
ENSG00000162073	2.02965126822869	8.33510066141346e-23
