Gene Symbol	logFC	adj p-value
ENSG00000118515	3.14053866329299	5.16174907029899e-17
ENSG00000124215	5.97798511323096	6.69374087707113e-13
ENSG00000140391	1.88821185976124	1.03327609073435e-12
ENSG00000066230	4.12791125381254	4.02530476819447e-11
ENSG00000126803	-3.54186862276007	4.02530476819447e-11
ENSG00000109861	3.99566249241496	4.6514830488409e-11
ENSG00000099860	-3.19747102197012	4.6514830488409e-11
ENSG00000188242	3.56410012011694	5.86418365516429e-11
ENSG00000197506	3.27610801446263	5.89809199620129e-11
ENSG00000172817	2.2356399742998	7.70710758475986e-11
ENSG00000049130	2.5215091435194	1.50442223295372e-10
ENSG00000148053	3.75117198901345	2.25173838439255e-10
ENSG00000235098	2.22138378201296	3.85717069196953e-10
ENSG00000111144	1.85130891328235	3.87230280017702e-10
ENSG00000103489	-2.73421553655866	3.94838707745421e-10
ENSG00000169860	1.67214438615817	6.63644305126408e-10
ENSG00000131620	4.79275639111277	1.01842322064009e-09
ENSG00000123700	3.97722896284894	1.0567027953024e-09
ENSG00000188761	4.57083166790728	1.03561093580211e-09
ENSG00000102409	-1.94650013034518	1.13960050157194e-09
ENSG00000184584	2.04399904124694	1.17934847101045e-09
ENSG00000065809	-2.98588097038492	1.17934847101045e-09
ENSG00000135960	2.35009250242532	1.33785075232332e-09
ENSG00000196639	3.38888496324675	1.75664556207289e-09
ENSG00000107798	1.08396904334682	1.89007456914688e-09
ENSG00000000971	2.49742294726897	1.92803278824747e-09
ENSG00000050344	1.94931313086574	2.2029897001402e-09
ENSG00000163606	4.22484785101982	2.48327152466802e-09
ENSG00000116260	-1.95954497002896	2.73545517917821e-09
ENSG00000010278	1.53421870685575	3.03157013497697e-09
ENSG00000162444	-2.40884420742236	3.03157013497697e-09
ENSG00000114770	1.80963888710724	3.2468248566351e-09
ENSG00000145623	2.03147837660449	3.27401169299426e-09
ENSG00000107959	1.15068189981055	3.53939431107373e-09
ENSG00000205403	3.58326412565489	3.53939431107373e-09
ENSG00000146757	-2.5576076381894	3.53939431107373e-09
ENSG00000162852	-1.88452336984634	3.53939431107373e-09
ENSG00000181467	-1.10944511446624	3.53939431107373e-09
ENSG00000137831	-1.81019153090164	3.72168476766654e-09
ENSG00000163249	-2.40144979101181	3.72168476766654e-09
ENSG00000062038	2.63419026284508	3.9730594818874e-09
ENSG00000137563	1.79455275012811	3.9730594818874e-09
ENSG00000176834	-1.77051363339042	4.08142407191893e-09
ENSG00000242110	-2.36840638788084	4.19413173667543e-09
ENSG00000082397	-4.18952816642613	4.55409842977161e-09
ENSG00000253313	-1.26053318516267	4.8418546326019e-09
ENSG00000196935	-2.76947551408447	5.30162357711569e-09
ENSG00000156463	1.71669015563485	6.05716453518909e-09
ENSG00000130766	-2.74845801398184	6.05716453518909e-09
ENSG00000076864	-2.17444161529024	6.05716453518909e-09
ENSG00000155792	-1.89698572756751	6.27664959309294e-09
ENSG00000135002	-2.75920705800266	7.47877323331423e-09
ENSG00000149564	-2.95855734880739	7.47877323331423e-09
ENSG00000204178	-2.00734196886626	7.47877323331423e-09
ENSG00000100342	3.91047019757453	8.39505160092877e-09
ENSG00000177427	-1.54360414791348	8.53193064071217e-09
ENSG00000171492	2.58209266988839	8.53193064071217e-09
ENSG00000176092	-1.71832086973205	8.83071135909781e-09
ENSG00000109846	-3.4112293147455	8.83071135909781e-09
ENSG00000115129	-2.29494396939444	8.83071135909781e-09
ENSG00000188641	2.39135292138965	8.83071135909781e-09
ENSG00000108839	-3.96746546833201	9.42213772662105e-09
ENSG00000135245	-5.242548929502	9.42213772662105e-09
ENSG00000011198	-1.53017444466926	9.42213772662105e-09
