Gene Symbol	logFC	adj p-value
ENSG00000131477	-2.5915127241419	2.02072230610261e-67
ENSG00000120156	-3.16519197116644	3.32848835843595e-64
ENSG00000150625	-3.42260700467643	2.17696444772807e-63
ENSG00000263155	-3.44981826312318	1.78248017743369e-61
ENSG00000168309	-3.81099120384464	3.4800747556208e-57
ENSG00000136160	-3.49817697728613	2.54785564652202e-56
ENSG00000135604	-2.48065056696262	4.80308657452075e-54
ENSG00000120279	-2.26725627228879	1.15815858737821e-53
ENSG00000171132	-2.11259098587047	1.48801118777037e-53
ENSG00000122679	-2.93547619010537	1.27484811146789e-51
ENSG00000105227	-2.94844071725097	2.41101348968474e-51
ENSG00000268388	-3.864944249999	2.41101348968474e-51
ENSG00000108381	-2.14597924036347	2.41101348968474e-51
ENSG00000170989	-2.34194515834968	4.2320196144874e-51
ENSG00000103241	-2.50031675951077	1.26598638157016e-50
ENSG00000164035	-2.48487867851451	2.83415765349413e-50
ENSG00000198844	-2.31831172140187	1.84624873371728e-49
ENSG00000154721	-2.34091349173092	3.12452449292399e-49
ENSG00000249751	-1.93224311199313	1.17558426322044e-46
ENSG00000091106	-2.14505953898383	2.10472296221734e-46
ENSG00000115306	-1.83515089158543	2.9740979583942e-46
ENSG00000133800	-2.92659495874616	3.86436603148706e-46
ENSG00000135363	-1.90540382684907	1.46577069342155e-45
ENSG00000169744	-2.20194181842694	1.74038892879269e-45
ENSG00000267107	-2.21991970264692	3.05238159491964e-45
ENSG00000166292	-4.41370788700003	5.35376271225216e-45
ENSG00000116194	-2.70730660046005	5.41009388010416e-45
ENSG00000165810	-3.49111975836948	2.00752391039464e-44
ENSG00000154133	-2.31593603449367	3.49999890081765e-44
ENSG00000010319	-2.63792239485807	2.1623023135449e-43
ENSG00000150048	-1.87444764536501	2.28186074430144e-43
ENSG00000182010	-3.49565156213741	1.98426152556595e-42
ENSG00000047648	-2.12789995891192	7.05161046690502e-42
ENSG00000064989	-2.53202517931581	1.01525978759975e-40
ENSG00000121691	-2.01479363337076	1.19954031683444e-40
ENSG00000132622	-2.11689230000951	1.19035450886565e-40
ENSG00000025423	-3.47992693977175	1.78064272934023e-40
ENSG00000162367	-2.29182584811966	2.45396221685611e-40
ENSG00000169252	-2.56071682004137	3.71146899693369e-40
ENSG00000179776	-2.3252637496132	4.03309936953083e-40
ENSG00000141338	-2.93099246526003	1.45820413370417e-39
ENSG00000171115	-2.26752602884055	2.56032385676766e-39
ENSG00000070778	-1.93577823045866	3.01916625275101e-39
ENSG00000123119	-2.7914715872643	3.05928002068472e-39
ENSG00000136114	-2.14125909656424	2.39222997355107e-38
ENSG00000133121	-1.57942689506308	2.91171027226489e-38
ENSG00000116016	-2.67693633442849	3.12600678777088e-38
ENSG00000156218	-1.8008076028481	3.19805328443633e-38
ENSG00000069702	-2.36073089330252	4.22496912671445e-38
ENSG00000154783	-1.89937719908718	4.25187542215092e-38
ENSG00000114812	-3.18189327623953	5.06114070465744e-38
ENSG00000163788	-1.23987098956522	6.72036106712066e-38
ENSG00000130052	-1.51400173889518	1.02722785224492e-37
ENSG00000118526	-3.14898656277145	1.07557518448721e-37
ENSG00000173269	-1.53298343464481	2.76785352725668e-37
ENSG00000171056	-2.63418190349328	3.5514740819961e-37
ENSG00000022267	-3.25567086558519	6.56575375279258e-37
ENSG00000168952	-2.97826505189937	6.80325150450797e-37
ENSG00000072163	-2.28950537019814	1.16887598560745e-36
ENSG00000176435	-2.00337146769136	1.28942052316502e-36
ENSG00000114378	-2.73097091420785	3.19907551248253e-36
ENSG00000143110	-2.0050744493627	7.06910826814348e-36
ENSG00000115602	-3.25826583255427	1.0223177797564e-35
ENSG00000122694	-1.96855975373887	1.38197119684523e-35
ENSG00000198873	-1.83313486103581	2.4187905215683e-35
ENSG00000106034	-2.0178660240556	2.99816535694177e-35
ENSG00000169418	-2.56047754270962	3.69304729726091e-35
ENSG00000127329	-2.58624827808381	4.54391505665006e-35
ENSG00000102760	-2.15693229206321	4.58394200318662e-35
ENSG00000139567	-1.87868732788716	1.2320038118533e-34
ENSG00000166265	-1.88660554462438	1.32680732861557e-34
ENSG00000135218	-3.00302727211432	6.17957185562259e-34
ENSG00000167261	-2.10753178787909	6.83749591465426e-34
ENSG00000241644	-3.39996521703783	1.5521459422664e-33
ENSG00000162407	-1.56191717991723	2.28340030676015e-33
ENSG00000148671	-2.93857603824005	2.80088415854131e-33
ENSG00000213203	-1.89338761895608	3.10529442546641e-33
ENSG00000091428	-1.66141475893879	7.50609911121384e-33
ENSG00000204176	-1.97815205035947	1.22128650475405e-32
ENSG00000165312	-1.37746092428609	2.28125876203291e-32
ENSG00000177303	-1.5299634867268	4.763558289718e-32
ENSG00000073910	-2.38988372263904	6.74688573849206e-32
ENSG00000154127	-2.01104828688226	7.74992080292471e-32
ENSG00000183019	-3.70411632712314	3.02720517205676e-31
ENSG00000123243	-2.46320650647489	3.1101391932071e-31
ENSG00000111052	-2.12197087472248	3.41373376362622e-31
ENSG00000146966	-1.71175166279313	6.83914092452532e-31
ENSG00000066056	-1.8166620420065	6.84669714257116e-31
ENSG00000153823	-2.29675502247087	7.32276741301147e-31
ENSG00000182253	-1.74230054891622	1.0595454602749e-30
ENSG00000282833	-1.79250721177719	1.09320890248978e-30
ENSG00000112137	-1.79242264294379	1.09320890248978e-30
ENSG00000137824	-1.1478114980207	1.19569754622808e-30
ENSG00000132170	-2.30268169050092	1.94442922270763e-30
ENSG00000111961	-1.52595359038676	2.282207915323e-30
ENSG00000241978	-1.96256646447027	2.29130105695295e-30
ENSG00000172322	-2.34240367616609	2.5952790067254e-30
ENSG00000152580	-3.16784929135833	2.93564167681602e-30
ENSG00000113555	-1.71125685868564	2.93564167681602e-30
ENSG00000276644	-2.41907313131289	2.99242192600066e-30
ENSG00000204136	-1.73638267752129	3.03703533807896e-30
ENSG00000087589	-1.86420381291124	4.8331738857343e-30
ENSG00000175084	-3.27983054714608	7.59151891909127e-30
ENSG00000108387	-1.48340230454474	1.16661491891426e-29
ENSG00000105974	-3.00071720312158	1.20876704879849e-29
ENSG00000169442	-2.39679031648121	1.31617088256927e-29
ENSG00000118777	-2.02505217234395	1.39052855266226e-29
ENSG00000105383	-1.56575383479774	1.52456469552877e-29
ENSG00000137834	-2.04770103418938	1.71147555188922e-29
ENSG00000031081	-1.98787794400084	1.81091647769067e-29
ENSG00000165072	-3.33862664712494	2.13254698825929e-29
ENSG00000189367	-2.9479844714493	2.86120983095773e-29
ENSG00000101695	-1.38131937325429	2.86690730206061e-29
ENSG00000126785	-1.64210407147652	2.93019784374118e-29
ENSG00000154330	-2.05565771948386	3.18356827672952e-29
ENSG00000059573	1.29760765456159	3.27865774712323e-29
ENSG00000185291	-1.68240488977169	4.84774211846675e-29
ENSG00000151702	-1.56235382623779	6.49262562094804e-29
ENSG00000168497	-3.11612972347731	7.18996098813814e-29
ENSG00000244734	-3.3516357420286	8.00721601876494e-29
ENSG00000154188	-2.26840158356079	9.28036279345312e-29
ENSG00000164932	4.32526102065767	1.05565034394879e-28
ENSG00000277101	-2.22432103190343	1.29786053013117e-28
ENSG00000106688	-2.54377864764291	1.36427037477726e-28
ENSG00000197415	-2.9738338498344	1.53800742704518e-28
ENSG00000150977	-1.15438282266757	1.53800742704518e-28
ENSG00000163710	-2.75582884490769	1.57512759416535e-28
ENSG00000144843	-1.39064461727809	2.67287368120183e-28
ENSG00000076555	-1.20406785203587	2.71766988298566e-28
ENSG00000171522	-1.6700761886995	2.76049383707745e-28
ENSG00000118785	4.805352701529	2.8605967386418e-28
ENSG00000114790	-2.19062127113082	4.74456744650312e-28
ENSG00000213853	-2.10142631067605	5.88292693245315e-28
ENSG00000141448	-1.79518556523267	6.00174038229253e-28
ENSG00000176771	-2.64363817998591	7.34176495129504e-28
ENSG00000115604	-1.72338568110445	8.52393294037846e-28
ENSG00000183287	-2.37671938525742	1.45373164480336e-27
ENSG00000114541	-1.29677243154685	1.82109095447522e-27
ENSG00000206384	-2.76620939046881	2.21123953004027e-27
ENSG00000163072	-2.24605615848984	2.60428292362621e-27
ENSG00000092421	-2.12092162628641	2.9373323955978e-27
ENSG00000144331	-3.17714718595419	3.20248464625864e-27
ENSG00000128268	-2.78415430996374	3.51672374880246e-27
ENSG00000149564	-1.93984707339395	3.63195708759007e-27
ENSG00000144218	-2.33812111886678	4.22201948814434e-27
ENSG00000157554	-1.62963055584138	4.55597946971764e-27
ENSG00000112799	-1.78143843580133	6.07103948750598e-27
ENSG00000111058	-2.02663988064345	6.1168821858965e-27
ENSG00000151718	-1.85126596251171	6.47204317101889e-27
ENSG00000161940	-1.50954010658147	6.62004378845228e-27
ENSG00000117758	-0.935528426632459	6.47204317101889e-27
ENSG00000179144	-1.85544748138236	7.07084499627297e-27
ENSG00000133561	-1.86764091617494	7.14063532112724e-27
ENSG00000164161	-3.54867281783266	7.63114686002294e-27
ENSG00000125810	-1.75241854658597	1.8259375380381e-26
ENSG00000139597	-1.25734604971453	2.02980500850125e-26
ENSG00000130755	-1.4659806758803	2.25202084532004e-26
ENSG00000019169	-3.65312330508705	2.63907838010737e-26
ENSG00000038945	-2.12731770862696	3.05044420451248e-26
ENSG00000095370	-1.83362297260039	3.84324122690415e-26
ENSG00000144909	-1.09402412115296	6.00807070558099e-26
ENSG00000197471	-2.12668236447788	6.20407438448735e-26
ENSG00000116678	-2.25705232130451	6.52540455630232e-26
ENSG00000137573	3.15202207165692	7.21146517506624e-26
ENSG00000113851	-0.788948341472998	7.80028656237996e-26
ENSG00000112782	-3.53131799767194	1.01141753776826e-25
ENSG00000161929	-1.77391655288875	1.23373917878829e-25
ENSG00000138722	-2.50356525438291	1.3381729010265e-25
ENSG00000127920	-1.9160426222367	1.83734797736861e-25
ENSG00000111897	-0.946678263511289	1.96056150141963e-25
ENSG00000157510	-1.35405009871126	3.3737001034237e-25
ENSG00000135929	-2.34773513106329	3.3737001034237e-25
ENSG00000099260	-1.89752582004376	4.12277137466944e-25
ENSG00000112902	-2.13150264515829	4.1304183032622e-25
ENSG00000112367	-0.986467597296491	4.40750559081445e-25
ENSG00000214013	-1.23022704971031	5.18536951175063e-25
ENSG00000166912	-1.15327036844592	5.84237325557162e-25
ENSG00000107242	-2.28569421775595	6.54546902490514e-25
ENSG00000085265	-2.22491043886403	6.46933925824207e-25
ENSG00000103994	-1.10410178004113	6.64578242685179e-25
ENSG00000185010	-1.32844083402231	6.86066524702728e-25
ENSG00000204217	-1.11007463660806	6.84640464706795e-25
ENSG00000128849	-2.01278022767574	6.86066524702728e-25
ENSG00000163513	-1.82739943990733	6.98462020219868e-25
ENSG00000187800	-1.52766153382408	7.409714397352e-25
ENSG00000197405	-1.65395206968584	8.28839799173406e-25
ENSG00000282800	-1.36779087262974	9.26422678317876e-25
ENSG00000165124	-2.03714014146854	1.17200079899239e-24
ENSG00000156052	-1.11369527665507	1.17200079899239e-24
ENSG00000186594	-1.36837084485152	1.20012921483746e-24
ENSG00000168329	-2.42516378571228	1.26818461787575e-24
ENSG00000111863	-2.03609267032893	1.44515799634035e-24
ENSG00000143382	-1.76127910711933	1.49195368652919e-24
ENSG00000128512	-1.37040351401751	1.49195368652919e-24
ENSG00000077152	2.77833711831711	1.60509172311849e-24
ENSG00000163686	-1.10149247230574	1.95746011508413e-24
ENSG00000177098	-2.40151101102337	2.14515365396042e-24
ENSG00000096063	1.17530921987014	2.11801340981564e-24
ENSG00000165495	-2.01892858621514	2.74226911656804e-24
ENSG00000123178	-1.03824358974195	2.68721057117041e-24
ENSG00000101955	-1.89671044892056	2.68721057117041e-24
ENSG00000166927	-2.088383400326	3.03136368551938e-24
ENSG00000129467	-1.50128617268581	4.53839691798225e-24
ENSG00000112419	-1.35622569304054	5.40508584105698e-24
ENSG00000136826	-2.14994288278528	5.9390707800532e-24
ENSG00000239672	1.62658218890394	7.27202938336469e-24
ENSG00000109743	-1.36039891720802	7.74130348011806e-24
ENSG00000211456	-0.819989251035199	7.56760353691908e-24
ENSG00000000938	-1.72237571928346	8.46521037306558e-24
ENSG00000110756	-0.896039780388625	8.49104107386498e-24
ENSG00000186417	-2.24410589244746	9.81561454808267e-24
ENSG00000135111	-1.94234225436241	9.81561454808267e-24
ENSG00000184226	-2.42108707080938	1.08393545026605e-23
ENSG00000163637	-1.43848193356627	1.20700510354561e-23
ENSG00000183010	3.06020546385225	1.55652076252435e-23
ENSG00000046889	-1.83477469349025	1.64300202859432e-23
ENSG00000122707	-1.19899778842029	1.64102216822146e-23
ENSG00000138821	-2.44958911044001	1.64300202859432e-23
ENSG00000144655	-1.75872707398339	1.97320721337215e-23
ENSG00000168907	-2.91739071921414	2.17573142742358e-23
ENSG00000172159	-1.7418315880574	2.57701141708615e-23
ENSG00000162849	3.09093749841506	2.88093882982892e-23
ENSG00000174059	-1.51365414080851	2.75919695245238e-23
ENSG00000135063	-2.72193571368037	2.9436625494494e-23
ENSG00000135049	-0.959992450627462	3.00103881561676e-23
ENSG00000163145	-2.43781849203155	3.39493246477195e-23
ENSG00000168542	2.79955721097367	3.38143125462095e-23
ENSG00000066405	-5.16712273708251	3.62763478110943e-23
ENSG00000123360	-1.21645414089381	4.23530420197937e-23
ENSG00000136404	-1.39762254954402	4.44206364595147e-23
ENSG00000204397	-1.25735013626551	5.8439683682884e-23
ENSG00000131831	-1.67632446899223	6.76203523645682e-23
ENSG00000095637	-2.07099811372651	6.93091600323175e-23
ENSG00000174175	-2.00205633479019	7.5044217886061e-23
ENSG00000254122	-1.52537236044164	9.06687741682981e-23
ENSG00000183722	-1.38045471859287	8.38929823444976e-23
ENSG00000163563	-1.76546941193744	9.85673540017444e-23
ENSG00000162520	-1.76356720999379	1.50558335919159e-22
ENSG00000138670	-1.46918641419594	1.45856001867411e-22
ENSG00000078596	-1.68312527858907	2.01270862313043e-22
ENSG00000144837	-2.13567030892072	2.5392974562928e-22
ENSG00000101916	-1.9288896943489	2.89918515935214e-22
ENSG00000080546	-1.34847895522459	2.98854902535311e-22
ENSG00000127528	-1.67408353228475	3.36815123274365e-22
ENSG00000108821	3.0815479359054	3.39110422512043e-22
ENSG00000281216	4.69520264320555	3.89188745702094e-22
ENSG00000154258	-1.57782793969296	3.77352456463334e-22
ENSG00000165757	-1.83053539729407	3.9476137332365e-22
ENSG00000211445	-2.57957405121825	4.08655683017865e-22
ENSG00000148175	-1.49573263700317	4.36664804549476e-22
ENSG00000261371	-1.70772082764305	5.25904859920558e-22
ENSG00000185432	-1.78824726318047	5.6019591467855e-22
ENSG00000155659	-2.32418573412409	5.84067725385861e-22
ENSG00000227036	2.7953593240451	6.61554776416066e-22
ENSG00000254726	3.76696287328944	7.06932993508465e-22
ENSG00000159433	-1.38069879659783	6.60552410858422e-22
ENSG00000138356	-2.20015750484452	6.61554776416066e-22
ENSG00000138593	-1.50812575204159	8.18809106587425e-22
ENSG00000117009	-1.70517573121226	9.41428869735177e-22
ENSG00000131747	3.06622481851316	1.03388831177205e-21
ENSG00000138685	-1.78715487306225	1.08161160022766e-21
ENSG00000186074	-1.66533476958024	1.08161160022766e-21
ENSG00000205302	-0.852988149105932	1.24312697838073e-21
ENSG00000131370	-1.51592602634013	1.33340271584371e-21
ENSG00000164741	-2.40444159388046	1.3606683491802e-21
ENSG00000129173	2.53800053321545	1.57907932359092e-21
ENSG00000152484	-0.936939555019202	1.43659975962116e-21
ENSG00000137726	-1.5685117508987	1.93791209485935e-21
ENSG00000186340	2.9142964530098	2.15516300492886e-21
ENSG00000145147	-1.87413934638587	2.13504537356602e-21
ENSG00000275326	-2.27965375479919	2.56661680224661e-21
ENSG00000117114	-1.80659217904572	2.69682906091485e-21
ENSG00000137507	-1.57390334609904	2.92809767836673e-21
ENSG00000158352	-1.9206372774212	3.25036995862251e-21
ENSG00000058335	-3.10730660498166	3.44823145736163e-21
ENSG00000149577	-1.00772535377609	3.75220706202782e-21
ENSG00000149380	2.20135159142228	4.58372220232218e-21
ENSG00000204161	-1.40417058259124	4.37961349502167e-21
ENSG00000165480	2.32082102519564	4.92921748847442e-21
ENSG00000114166	-1.14426602007664	4.58372220232218e-21
ENSG00000150457	-1.06827546061531	5.19879878685921e-21
ENSG00000171303	-2.60968923580937	5.58565934567411e-21
ENSG00000112303	-1.59553528054283	6.86488395161923e-21
ENSG00000154175	-2.03222140744853	6.6229262187077e-21
ENSG00000154920	2.42846870590115	7.68395736812197e-21
ENSG00000119326	-1.48694317440191	8.75087859602583e-21
ENSG00000101307	-1.96563511033527	1.01261025894969e-20
ENSG00000258947	4.27295829207558	1.191049297931e-20
ENSG00000154309	-1.44163674051839	1.67601321064396e-20
ENSG00000187824	-1.58523224900818	1.82254978045099e-20
ENSG00000103569	-1.98160782108035	1.86225576027105e-20
ENSG00000175899	-2.23620209583292	2.04901872074284e-20
ENSG00000263163	-1.26457090419604	2.31051753025629e-20
ENSG00000067082	-1.46567333832886	2.31051753025629e-20
ENSG00000140092	-1.90200390021352	2.33366322279044e-20
ENSG00000077943	-2.19250299749119	2.55237435721163e-20
ENSG00000134256	-1.34908164984541	2.89436589905593e-20
ENSG00000186642	-1.48088446844344	2.9208703632673e-20
ENSG00000102547	-1.29144511198148	2.83862688562226e-20
ENSG00000133110	2.74153433333504	2.73307809899829e-20
ENSG00000136732	-1.35959147948108	3.11345112007466e-20
ENSG00000004799	-2.65136535366679	3.33838991524045e-20
ENSG00000102934	-1.82224977370151	3.50688901573833e-20
ENSG00000121797	-1.52305286489596	3.78492315263655e-20
ENSG00000117650	3.00726276299705	4.09485638041577e-20
ENSG00000180198	1.46538236575879	3.98245795467214e-20
ENSG00000196616	-4.759439976632	3.99204099759389e-20
ENSG00000147443	-1.64126429811716	4.26237145019398e-20
ENSG00000161835	-1.57139185574368	4.43055364941813e-20
ENSG00000103175	-1.98585205695956	4.60970647229093e-20
ENSG00000197256	-1.34573448059834	4.52987013691612e-20
ENSG00000178999	2.62202626887048	5.63646783276365e-20
ENSG00000107798	-1.64750208770585	4.99780828423987e-20
ENSG00000124831	-0.872359336752532	5.06646880132141e-20
ENSG00000184005	-1.77118932569859	6.14379560328942e-20
ENSG00000117139	1.23161744603009	5.71406997766479e-20
ENSG00000114698	-1.39452553191833	5.71406997766479e-20
ENSG00000112531	-0.932227429637675	5.84862292468667e-20
ENSG00000127603	-0.917863950640059	6.6648126191031e-20
ENSG00000187098	-1.20421013321528	6.77695686141401e-20
ENSG00000136630	-1.36498644553139	7.6024612754431e-20
ENSG00000150938	-1.22932588314184	7.80013231780977e-20
ENSG00000227051	-1.88446623223263	8.376424808866e-20
ENSG00000113231	-1.47754518430959	9.23819919829146e-20
ENSG00000162817	-1.72246293872914	9.04095332233391e-20
ENSG00000119686	-1.46706484037262	9.11011170122033e-20
ENSG00000141696	2.05525928722953	1.05459027715916e-19
ENSG00000119865	-1.20188487573421	1.08326879977101e-19
ENSG00000166128	-1.00906510778945	1.00178109758106e-19
ENSG00000205269	-1.24838633604672	1.07524964377406e-19
ENSG00000170776	-1.13556402580429	1.09477282619626e-19
ENSG00000065328	2.64441901131009	1.27523565916562e-19
ENSG00000106809	-2.79209947019615	1.30421155911247e-19
ENSG00000143554	-1.23178560200559	1.48843852756264e-19
ENSG00000119138	-1.41868469518614	1.43886368486468e-19
ENSG00000186871	2.39973617924755	1.6950332326441e-19
ENSG00000119471	-1.29236465473801	1.5294944549497e-19
ENSG00000085514	-1.37299879011331	1.6617302638934e-19
ENSG00000068305	-0.887762560969131	1.6371257526003e-19
ENSG00000064763	-1.414970605489	1.77398197225249e-19
ENSG00000283224	-1.4295554753319	1.87055961402178e-19
ENSG00000160593	-1.78311483742494	1.77065568370809e-19
ENSG00000130164	-1.72713139349418	1.77819455130223e-19
ENSG00000079462	1.96916053744906	2.14072765647587e-19
ENSG00000029993	2.66491338810259	2.27817960477706e-19
ENSG00000118407	-1.96181040826766	2.27817960477706e-19
ENSG00000136546	-2.81750497233712	2.33288495468116e-19
ENSG00000132970	-1.52374412983531	2.65474596908563e-19
ENSG00000094963	-2.56634687928995	2.51544732015682e-19
ENSG00000154678	-2.17869349027003	2.8310561969017e-19
ENSG00000136869	-1.57345178810447	2.51886064861902e-19
ENSG00000154263	-1.83627454462844	3.28106429657172e-19
ENSG00000112149	-1.57083414442418	2.99988419403961e-19
ENSG00000173210	-1.80704724658672	3.09393214481927e-19
ENSG00000206053	1.14683639188363	3.2806577380299e-19
ENSG00000095713	-3.07615294695161	3.62593777415376e-19
ENSG00000155660	1.34168017971481	4.0081361721212e-19
ENSG00000174371	2.63590089100226	4.75903787668701e-19
ENSG00000147027	-1.46248115319665	4.14374180139091e-19
ENSG00000115896	-1.32408121517094	4.75851541015593e-19
ENSG00000250722	-1.88441670812947	4.61514605478591e-19
ENSG00000117791	-1.43777570738822	4.86928160251284e-19
ENSG00000104267	-2.03164157381862	4.98410033634646e-19
ENSG00000158122	-0.84288856256312	5.69122754228319e-19
ENSG00000276043	2.80848571569928	6.40123191438613e-19
ENSG00000134690	2.67466580903608	6.40247171269713e-19
ENSG00000275365	5.08780255162205	6.68149149905795e-19
ENSG00000099953	5.0873306422557	6.72290620642607e-19
ENSG00000085999	2.54564222421635	6.74877805119947e-19
ENSG00000152137	-1.91668843152619	5.82942289714653e-19
ENSG00000130988	-2.14972909400059	6.68089607844267e-19
ENSG00000224916	-2.42001795331423	6.26261179575022e-19
ENSG00000134201	-1.97154024469253	7.13527758470304e-19
ENSG00000188921	-1.34232251609991	6.78972431370465e-19
ENSG00000137203	4.22905614297682	8.14553432738857e-19
ENSG00000188766	2.19828450193924	8.30872804981916e-19
ENSG00000198909	-0.878287654891173	7.46550031914352e-19
ENSG00000124942	-1.50309176807667	8.14553432738857e-19
