Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	in_epidem_dd_dm	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Chronic obstructive pulmonary disease 1	Eosinophilic esophagitis 1	496	530	diseases of the respiratory system	diseases of the digestive system	#00619C	#FBAF5F	Chronic obstructive pulmonary disease	Eosinophilic esophagitis	-0.0215546885374518	0.031160382042561	0.0430210251065082	FALSE	FALSE	TRUE	FALSE	2699	496 _ 530	FALSE	FALSE
Adenomatous polyps 2	Eosinophilic esophagitis 1	211	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Adenomatous polyps	Eosinophilic esophagitis	-0.0282090530876494	0.012361385897891	0.0179497290451752	FALSE	FALSE	TRUE	FALSE	2700	211 _ 530	FALSE	FALSE
Crohn's disease 	Eosinophilic esophagitis 2	555	530	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	Crohn's disease	Eosinophilic esophagitis	0.10674475032142	6.01390188722606e-30	2.48171669838696e-29	TRUE	TRUE	TRUE	FALSE	2701	530 _ 555	TRUE	TRUE
Breast cancer 	Eosinophilic esophagitis 	174	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Breast cancer	Eosinophilic esophagitis	0.0762292394527959	5.63177086991733e-15	1.56737807446095e-14	FALSE	FALSE	FALSE	FALSE	2702	174 _ 530	FALSE	FALSE
Parkinson's disease 	Eosinophilic esophagitis 	332	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Parkinson's disease	Eosinophilic esophagitis	-0.057386133064755	2.681705429662e-07	5.41972887326931e-07	FALSE	FALSE	TRUE	FALSE	2703	332 _ 530	FALSE	FALSE
Ulcer 2	Eosinophilic esophagitis 1	569	530	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	Ulcer	Eosinophilic esophagitis	0.0901742822873657	1.1943061518778e-20	3.93670408852844e-20	TRUE	FALSE	TRUE	FALSE	2704	530 _ 569	TRUE	TRUE
Huntington's disease 1	Eosinophilic esophagitis 1	333	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Huntington's disease	Eosinophilic esophagitis	0.0593921632658114	1.55087662469565e-08	3.34507061162686e-08	TRUE	FALSE	FALSE	FALSE	2705	333 _ 530	TRUE	TRUE
Colorectal cancer 4	Eosinophilic esophagitis 2	153	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Colorectal cancer	Eosinophilic esophagitis	0.108884804691807	6.56848089036366e-19	2.07622652315883e-18	FALSE	FALSE	TRUE	FALSE	2706	153 _ 530	FALSE	FALSE
Multiple sclerosis 2	Eosinophilic esophagitis 1	340	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Multiple sclerosis	Eosinophilic esophagitis	0.0274754781544948	0.0351814693110298	0.0481839865320455	FALSE	FALSE	TRUE	FALSE	2707	340 _ 530	FALSE	FALSE
Sessile serrated polyps 	Eosinophilic esophagitis 	211	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Sessile serrated polyps	Eosinophilic esophagitis	-0.150319860492945	9.9282141714996e-35	4.46334825418e-34	FALSE	FALSE	TRUE	FALSE	2708	211 _ 530	FALSE	FALSE
Lung cancer 1	Eosinophilic esophagitis 1	162	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Lung cancer	Eosinophilic esophagitis	0.0463788442580288	2.74279706914117e-06	5.25603209360313e-06	TRUE	FALSE	FALSE	FALSE	2709	162 _ 530	TRUE	TRUE
Breast cancer 	Eosinophilic esophagitis 2	174	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Breast cancer	Eosinophilic esophagitis	0.0746797477766881	6.38751773798196e-15	1.77410244636892e-14	FALSE	FALSE	FALSE	FALSE	2710	174 _ 530	FALSE	FALSE
Human immunodeficiency virus infection 1	Eosinophilic esophagitis 1	42	530	infectious and parasitic diseases	diseases of the digestive system	#A1CE5E	#FBAF5F	Human immunodeficiency virus infection	Eosinophilic esophagitis	0.0305111006430821	0.0206535682250885	0.029219094222653	TRUE	FALSE	FALSE	FALSE	2711	42 _ 530	TRUE	TRUE
Parkinson's disease 10	Eosinophilic esophagitis 1	332	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Parkinson's disease	Eosinophilic esophagitis	-0.0272221008339901	0.00996527937671678	0.0145890553081052	FALSE	FALSE	TRUE	FALSE	2712	332 _ 530	FALSE	FALSE
Hyperplastic polyps 1	Eosinophilic esophagitis 1	211	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Hyperplastic polyps	Eosinophilic esophagitis	-0.199862204190207	9.32219312956555e-72	7.04483282024469e-71	FALSE	FALSE	TRUE	TRUE	2713	211 _ 530	FALSE	FALSE
Bipolar disorder 	Eosinophilic esophagitis 1	296	530	mental disorders	diseases of the digestive system	#805462	#FBAF5F	Bipolar disorder	Eosinophilic esophagitis	0.060703491469319	5.98002323350715e-06	1.12221094135194e-05	TRUE	TRUE	FALSE	FALSE	2714	296 _ 530	TRUE	TRUE
Hyperplastic polyps 	Eosinophilic esophagitis 1	211	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Hyperplastic polyps	Eosinophilic esophagitis	-0.194712143928131	2.42430525723533e-68	1.7566230681544e-67	FALSE	FALSE	TRUE	FALSE	2715	211 _ 530	FALSE	FALSE
Parkinson's disease 2	Eosinophilic esophagitis 1	332	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Parkinson's disease	Eosinophilic esophagitis	-0.0237276251941551	0.0283562223547088	0.0393657102406518	FALSE	FALSE	TRUE	FALSE	2716	332 _ 530	FALSE	FALSE
Parkinson's disease 3	Eosinophilic esophagitis 1	332	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	Parkinson's disease	Eosinophilic esophagitis	-0.037097719231337	0.000691256986970031	0.00112111962679353	FALSE	FALSE	TRUE	FALSE	2717	332 _ 530	FALSE	FALSE
Cardiomyopathy 2	Eosinophilic esophagitis 2	425	530	diseases of the circulatory system	diseases of the digestive system	#DD3232	#FBAF5F	Cardiomyopathy	Eosinophilic esophagitis	0.0595955217352624	3.94268146269129e-07	7.90075650844823e-07	TRUE	FALSE	FALSE	FALSE	2718	425 _ 530	TRUE	TRUE
Glioblastoma 	Eosinophilic esophagitis 2	191	530	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	Glioblastoma	Eosinophilic esophagitis	0.0968100148507487	1.03071948430321e-24	3.77981619757276e-24	FALSE	FALSE	TRUE	FALSE	2719	191 _ 530	FALSE	FALSE
Alagille syndrome 	Eosinophilic esophagitis 2	759	530	congenital anomalies	diseases of the digestive system	#AEC6CC	#FBAF5F	Alagille syndrome	Eosinophilic esophagitis	0.0745336089855856	6.00227982846161e-09	1.31910941885799e-08	TRUE	TRUE	FALSE	FALSE	2720	530 _ 759	TRUE	TRUE
Eosinophilic esophagitis 	Eosinophilic esophagitis 1	530	530	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	Eosinophilic esophagitis	Eosinophilic esophagitis	0.996711826791245	0	0	FALSE	FALSE	TRUE	TRUE	2721	530 _ 530	FALSE	FALSE
Down syndrome 1	Eosinophilic esophagitis 1	758	530	congenital anomalies	diseases of the digestive system	#AEC6CC	#FBAF5F	Down syndrome	Eosinophilic esophagitis	-0.134464524640012	5.38674737686948e-24	1.93904015745991e-23	FALSE	FALSE	TRUE	FALSE	2722	530 _ 758	FALSE	FALSE
Human immunodeficiency virus infection 	Eosinophilic esophagitis 	42	530	infectious and parasitic diseases	diseases of the digestive system	#A1CE5E	#FBAF5F	Human immunodeficiency virus infection	Eosinophilic esophagitis	0.0553670204299691	8.45410143297513e-05	0.000147211791703969	TRUE	TRUE	TRUE	FALSE	2723	42 _ 530	TRUE	TRUE
Bipolar disorder 1	Eosinophilic esophagitis 1	296	530	mental disorders	diseases of the digestive system	#805462	#FBAF5F	Bipolar disorder	Eosinophilic esophagitis	0.0598541058994968	8.05807854337283e-06	1.50097401326579e-05	TRUE	FALSE	FALSE	FALSE	2724	296 _ 530	TRUE	TRUE
Crohn's disease 	Facioscapulohumeral muscular dystrophy 	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.08565621195919	1.76400194058634e-15	4.99287130150334e-15	FALSE	FALSE	TRUE	FALSE	2725	359 _ 555	FALSE	FALSE
Huntington's disease 	Facioscapulohumeral muscular dystrophy 2	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.138710252931565	4.87777517918352e-14	1.31303397415172e-13	TRUE	TRUE	FALSE	FALSE	2726	333 _ 359	TRUE	TRUE
Ulcer 	Facioscapulohumeral muscular dystrophy 3	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcer	Facioscapulohumeral muscular dystrophy	0.0311443512440316	0.0310559038882165	0.042886392835768	TRUE	TRUE	FALSE	FALSE	2727	359 _ 569	TRUE	TRUE
Crohn's disease 2	Facioscapulohumeral muscular dystrophy 5	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.0679113440501238	1.28373648090685e-10	3.03280897042781e-10	FALSE	FALSE	TRUE	FALSE	2728	359 _ 555	FALSE	FALSE
Colorectal cancer 	Facioscapulohumeral muscular dystrophy 4	153	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Colorectal cancer	Facioscapulohumeral muscular dystrophy	0.0764189901437198	0.0272336237588085	0.037901228952774	FALSE	FALSE	TRUE	FALSE	2729	153 _ 359	FALSE	TRUE
Sessile serrated polyps 	Facioscapulohumeral muscular dystrophy 4	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Sessile serrated polyps	Facioscapulohumeral muscular dystrophy	0.0438346673416123	0.0216133389314733	0.030475401666425	TRUE	TRUE	TRUE	FALSE	2730	211 _ 359	TRUE	TRUE
Hyperplastic polyps 	Facioscapulohumeral muscular dystrophy 4	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	0.178881920562072	3.71127595119391e-32	1.58899885876978e-31	TRUE	TRUE	FALSE	FALSE	2731	211 _ 359	TRUE	TRUE
Chronic obstructive pulmonary disease 	Facioscapulohumeral muscular dystrophy 5	496	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Chronic obstructive pulmonary disease	Facioscapulohumeral muscular dystrophy	-0.27647573440465	6.65972196828427e-139	9.84807385418076e-138	FALSE	FALSE	TRUE	FALSE	2732	359 _ 496	FALSE	FALSE
Asthma 	Facioscapulohumeral muscular dystrophy 4	493	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Asthma	Facioscapulohumeral muscular dystrophy	0.0918419184019725	0.00122740535847679	0.00194734405019541	TRUE	TRUE	FALSE	FALSE	2733	359 _ 493	TRUE	TRUE
Friedreich's ataxia 	Facioscapulohumeral muscular dystrophy 1	334	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Friedreich's ataxia	Facioscapulohumeral muscular dystrophy	-0.0621605967832909	0.00129185716525231	0.00204670052238944	FALSE	FALSE	TRUE	FALSE	2734	334 _ 359	FALSE	FALSE
Smoker 	Facioscapulohumeral muscular dystrophy 4	305	359	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	Smoker	Facioscapulohumeral muscular dystrophy	0.102008532775017	0.0108446528902758	0.0158331675124353	TRUE	TRUE	FALSE	FALSE	2735	305 _ 359	TRUE	TRUE
Chronic obstructive pulmonary disease 	Facioscapulohumeral muscular dystrophy 3	496	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Chronic obstructive pulmonary disease	Facioscapulohumeral muscular dystrophy	-0.130902759823914	1.32568363678461e-31	5.62319939322067e-31	FALSE	FALSE	TRUE	FALSE	2736	359 _ 496	FALSE	FALSE
Huntington's disease 	Facioscapulohumeral muscular dystrophy 1	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.073115762478967	7.55966075952573e-05	0.000132028783830764	TRUE	TRUE	FALSE	FALSE	2737	333 _ 359	TRUE	TRUE
Schizophrenia 	Facioscapulohumeral muscular dystrophy 3	295	359	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	Schizophrenia	Facioscapulohumeral muscular dystrophy	0.114426688348689	0.0325962230918902	0.0448375517639199	FALSE	FALSE	FALSE	FALSE	2738	295 _ 359	TRUE	TRUE
Breast cancer 	Facioscapulohumeral muscular dystrophy 1	174	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Breast cancer	Facioscapulohumeral muscular dystrophy	0.130908964517588	8.83634125767279e-34	3.9012921724736e-33	FALSE	FALSE	FALSE	FALSE	2739	174 _ 359	FALSE	FALSE
Idiopathic pulmonary fibrosis 	Facioscapulohumeral muscular dystrophy 2	516	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Idiopathic pulmonary fibrosis	Facioscapulohumeral muscular dystrophy	0.215064912791952	4.40680180498479e-69	3.21772285914657e-68	TRUE	TRUE	FALSE	FALSE	2740	359 _ 516	TRUE	TRUE
Familial dysautonomia 	Facioscapulohumeral muscular dystrophy 5	742	359	congenital anomalies	diseases of the nervous system and sense organs	#AEC6CC	#985396	Familial dysautonomia	Facioscapulohumeral muscular dystrophy	0.130674007915562	1.92187906353756e-05	3.49066739968382e-05	TRUE	TRUE	FALSE	FALSE	2741	359 _ 742	TRUE	TRUE
Coeliac disease 2	Facioscapulohumeral muscular dystrophy 2	579	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Coeliac disease	Facioscapulohumeral muscular dystrophy	0.298561835482967	2.44077940578491e-17	7.31165387170684e-17	TRUE	FALSE	FALSE	FALSE	2742	359 _ 579	TRUE	TRUE
Familial dysautonomia 	Facioscapulohumeral muscular dystrophy 3	742	359	congenital anomalies	diseases of the nervous system and sense organs	#AEC6CC	#985396	Familial dysautonomia	Facioscapulohumeral muscular dystrophy	0.12931601502133	2.34747093493934e-05	4.23548228353534e-05	TRUE	TRUE	FALSE	FALSE	2743	359 _ 742	TRUE	TRUE
Crohn's disease 1	Facioscapulohumeral muscular dystrophy 5	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.190617908525335	1.78085738459502e-82	1.53402806038052e-81	FALSE	FALSE	TRUE	FALSE	2744	359 _ 555	FALSE	FALSE
Lung cancer 	Facioscapulohumeral muscular dystrophy 3	162	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Lung cancer	Facioscapulohumeral muscular dystrophy	0.12403688309864	1.11527077541603e-26	4.26378194027769e-26	TRUE	TRUE	FALSE	FALSE	2745	162 _ 359	TRUE	TRUE
Colorectal cancer 	Facioscapulohumeral muscular dystrophy 1	153	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Colorectal cancer	Facioscapulohumeral muscular dystrophy	0.112344074111256	0.00114688070768493	0.00182522952936214	FALSE	FALSE	FALSE	FALSE	2746	153 _ 359	FALSE	TRUE
Papillary thyroid cancer 	Facioscapulohumeral muscular dystrophy 3	193	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Papillary thyroid cancer	Facioscapulohumeral muscular dystrophy	0.10607894646496	3.55814308333646e-05	6.34286635318936e-05	FALSE	FALSE	FALSE	FALSE	2747	193 _ 359	TRUE	TRUE
Ulcerative colitis 2	Facioscapulohumeral muscular dystrophy 3	556	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcerative colitis	Facioscapulohumeral muscular dystrophy	-0.0355923395430207	0.000672009012080258	0.00109205897240166	FALSE	FALSE	TRUE	FALSE	2748	359 _ 556	FALSE	FALSE
Hyperplastic polyps 	Facioscapulohumeral muscular dystrophy 1	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	0.241150697281524	9.0010491885371e-58	5.65399917921468e-57	TRUE	TRUE	FALSE	FALSE	2749	211 _ 359	TRUE	TRUE
Asthma 	Facioscapulohumeral muscular dystrophy 3	493	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Asthma	Facioscapulohumeral muscular dystrophy	0.0763704204821904	0.00722814983197601	0.0107337371465076	TRUE	TRUE	FALSE	FALSE	2750	359 _ 493	TRUE	TRUE
Glioblastoma 	Facioscapulohumeral muscular dystrophy 3	191	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Glioblastoma	Facioscapulohumeral muscular dystrophy	0.0675003017196746	2.93961116121039e-10	6.84501517651978e-10	TRUE	TRUE	FALSE	FALSE	2751	191 _ 359	TRUE	TRUE
Schizophrenia 	Facioscapulohumeral muscular dystrophy 4	295	359	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	Schizophrenia	Facioscapulohumeral muscular dystrophy	0.180130248326763	0.000722928839920781	0.00117002200107005	FALSE	FALSE	TRUE	FALSE	2752	295 _ 359	TRUE	TRUE
Huntington's disease 2	Facioscapulohumeral muscular dystrophy 2	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.0950417230502244	3.81947382990002e-08	8.08111965591008e-08	TRUE	FALSE	FALSE	FALSE	2753	333 _ 359	TRUE	TRUE
Friedreich's ataxia 	Facioscapulohumeral muscular dystrophy 5	334	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Friedreich's ataxia	Facioscapulohumeral muscular dystrophy	-0.138679932553179	5.72991225966121e-13	1.4827953616493e-12	FALSE	FALSE	TRUE	FALSE	2754	334 _ 359	FALSE	FALSE
Huntington's disease 	Facioscapulohumeral muscular dystrophy 	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.0835399246905106	6.06557100802649e-06	1.13757161505588e-05	TRUE	TRUE	FALSE	FALSE	2755	333 _ 359	TRUE	TRUE
Colorectal cancer 	Facioscapulohumeral muscular dystrophy 5	153	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Colorectal cancer	Facioscapulohumeral muscular dystrophy	0.0901229602643767	0.009170578436612	0.0134849212345931	FALSE	FALSE	FALSE	FALSE	2756	153 _ 359	FALSE	TRUE
Borrelia burgdorferi infection 	Facioscapulohumeral muscular dystrophy 2	88	359	infectious and parasitic diseases	diseases of the nervous system and sense organs	#A1CE5E	#985396	Borrelia burgdorferi infection	Facioscapulohumeral muscular dystrophy	0.043458216428944	0.00298000235978754	0.00459477645110313	TRUE	TRUE	FALSE	FALSE	2757	88 _ 359	TRUE	TRUE
Ulcerative colitis 1	Facioscapulohumeral muscular dystrophy 5	556	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcerative colitis	Facioscapulohumeral muscular dystrophy	-0.0664755899760926	5.95368227305382e-08	1.24596429220994e-07	FALSE	FALSE	TRUE	FALSE	2758	359 _ 556	FALSE	FALSE
Ulcer 	Facioscapulohumeral muscular dystrophy 5	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcer	Facioscapulohumeral muscular dystrophy	0.0306665787805463	0.033732051794092	0.0463120167186385	TRUE	TRUE	FALSE	FALSE	2759	359 _ 569	TRUE	TRUE
Breast cancer 	Facioscapulohumeral muscular dystrophy 5	174	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Breast cancer	Facioscapulohumeral muscular dystrophy	0.209199104820768	1.27161252361725e-84	1.12365301764112e-83	FALSE	FALSE	FALSE	FALSE	2760	174 _ 359	FALSE	FALSE
Idiopathic pulmonary fibrosis 	Facioscapulohumeral muscular dystrophy 4	516	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Idiopathic pulmonary fibrosis	Facioscapulohumeral muscular dystrophy	0.15897619746224	3.67834044435417e-38	1.75279681212978e-37	TRUE	TRUE	TRUE	FALSE	2761	359 _ 516	TRUE	TRUE
Crohn's disease 1	Facioscapulohumeral muscular dystrophy 2	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.167069616455435	1.60276148549148e-63	1.08835810244124e-62	FALSE	FALSE	TRUE	FALSE	2762	359 _ 555	FALSE	FALSE
Papillary thyroid cancer 	Facioscapulohumeral muscular dystrophy 5	193	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Papillary thyroid cancer	Facioscapulohumeral muscular dystrophy	0.152089124337185	2.75469921993505e-09	6.15274433203264e-09	FALSE	FALSE	FALSE	FALSE	2763	193 _ 359	TRUE	TRUE
Crohn's disease 2	Facioscapulohumeral muscular dystrophy 3	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.0368063933839277	0.000498476113273578	0.000819243330660966	FALSE	FALSE	TRUE	FALSE	2764	359 _ 555	FALSE	FALSE
Crohn's disease 1	Facioscapulohumeral muscular dystrophy 1	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Crohn's disease	Facioscapulohumeral muscular dystrophy	-0.109070886083778	7.46390108829742e-28	2.93926897716265e-27	FALSE	FALSE	TRUE	FALSE	2765	359 _ 555	FALSE	FALSE
Ulcerative colitis 	Facioscapulohumeral muscular dystrophy 5	556	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcerative colitis	Facioscapulohumeral muscular dystrophy	-0.0891193054946249	5.59856227987529e-14	1.5041022936424e-13	FALSE	FALSE	TRUE	FALSE	2766	359 _ 556	FALSE	FALSE
Chronic obstructive pulmonary disease 	Facioscapulohumeral muscular dystrophy 1	496	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Chronic obstructive pulmonary disease	Facioscapulohumeral muscular dystrophy	-0.153156842757079	9.19809460374426e-43	4.74464528178065e-42	FALSE	FALSE	TRUE	FALSE	2767	359 _ 496	FALSE	FALSE
Cardiomyopathy 	Facioscapulohumeral muscular dystrophy 2	425	359	diseases of the circulatory system	diseases of the nervous system and sense organs	#DD3232	#985396	Cardiomyopathy	Facioscapulohumeral muscular dystrophy	-0.207433676714716	0.0165850409893229	0.0237083132072043	FALSE	FALSE	TRUE	FALSE	2768	359 _ 425	FALSE	FALSE
Ulcer 	Facioscapulohumeral muscular dystrophy 4	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcer	Facioscapulohumeral muscular dystrophy	0.0740364955568806	2.86833224456437e-07	5.78930306218972e-07	TRUE	TRUE	TRUE	FALSE	2769	359 _ 569	TRUE	TRUE
Huntington's disease 1	Facioscapulohumeral muscular dystrophy 1	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.0950884679397079	1.51853179909338e-12	3.86952310741255e-12	TRUE	FALSE	FALSE	FALSE	2770	333 _ 359	TRUE	TRUE
Papillary thyroid cancer 	Facioscapulohumeral muscular dystrophy 4	193	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Papillary thyroid cancer	Facioscapulohumeral muscular dystrophy	0.149554147884208	5.05512448623218e-09	1.11513294092779e-08	FALSE	FALSE	FALSE	FALSE	2771	193 _ 359	TRUE	TRUE
Hyperplastic polyps 	Facioscapulohumeral muscular dystrophy 5	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	0.241674966335364	5.04950897395031e-58	3.18320632247287e-57	TRUE	TRUE	FALSE	FALSE	2772	211 _ 359	TRUE	TRUE
Chronic lymphocytic leukemia 	Facioscapulohumeral muscular dystrophy 2	204	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Chronic lymphocytic leukemia	Facioscapulohumeral muscular dystrophy	-0.137971833900274	9.1045732790709e-06	1.68951692756245e-05	FALSE	FALSE	TRUE	FALSE	2773	204 _ 359	FALSE	FALSE
Coeliac disease 2	Facioscapulohumeral muscular dystrophy 4	579	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Coeliac disease	Facioscapulohumeral muscular dystrophy	0.193932682412669	5.70588452386439e-08	1.19552790551049e-07	TRUE	FALSE	TRUE	FALSE	2774	359 _ 579	TRUE	TRUE
Hyperplastic polyps 	Facioscapulohumeral muscular dystrophy 3	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	0.170462283870807	2.58936238809112e-29	1.0530130702049e-28	TRUE	TRUE	FALSE	FALSE	2775	211 _ 359	TRUE	TRUE
Huntington's disease 	Facioscapulohumeral muscular dystrophy 3	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.0782274920840668	2.28062269390721e-05	4.11795812716931e-05	TRUE	TRUE	FALSE	FALSE	2776	333 _ 359	TRUE	TRUE
Idiopathic pulmonary fibrosis 	Facioscapulohumeral muscular dystrophy 1	516	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	Idiopathic pulmonary fibrosis	Facioscapulohumeral muscular dystrophy	0.20987754817242	8.34872137045042e-66	5.87654570521191e-65	TRUE	TRUE	FALSE	FALSE	2777	359 _ 516	TRUE	TRUE
Friedreich's ataxia 	Facioscapulohumeral muscular dystrophy 3	334	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Friedreich's ataxia	Facioscapulohumeral muscular dystrophy	-0.0800757620050838	3.35648282526071e-05	5.99118322584574e-05	FALSE	FALSE	TRUE	FALSE	2778	334 _ 359	FALSE	FALSE
Huntington's disease 2	Facioscapulohumeral muscular dystrophy 3	333	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Huntington's disease	Facioscapulohumeral muscular dystrophy	0.0449074953762963	0.0094943819053357	0.0139344449314816	TRUE	FALSE	FALSE	FALSE	2779	333 _ 359	TRUE	TRUE
Parkinson's disease 	Facioscapulohumeral muscular dystrophy 1	332	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	Parkinson's disease	Facioscapulohumeral muscular dystrophy	0.11180771562737	5.33402981535703e-14	1.43428463797354e-13	TRUE	TRUE	FALSE	FALSE	2780	332 _ 359	TRUE	TRUE
Ulcerative colitis 2	Facioscapulohumeral muscular dystrophy 5	556	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	Ulcerative colitis	Facioscapulohumeral muscular dystrophy	-0.101869352333488	1.74491174114683e-22	6.01562351733743e-22	FALSE	FALSE	TRUE	FALSE	2781	359 _ 556	FALSE	FALSE
