Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	in_epidem_dd_dm	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Asthma 	Adenomatous polyps 	493	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Asthma	Adenomatous polyps	-0.0521462287705081	0.0195079739579957	0.0276619342943008	FALSE	FALSE	TRUE	FALSE	11	211 _ 493	FALSE	FALSE
Borrelia burgdorferi infection 1	Adenomatous polyps 1	88	211	infectious and parasitic diseases	neoplasms	#A1CE5E	#FFB6AD	Borrelia burgdorferi infection	Adenomatous polyps	-0.0437364605217461	0.000318265809900615	0.000530428662746013	FALSE	FALSE	TRUE	FALSE	12	88 _ 211	FALSE	FALSE
Ulcerative colitis 2	Adenomatous polyps 1	556	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Ulcerative colitis	Adenomatous polyps	0.052081810597374	3.25330989968253e-07	6.54594435548667e-07	TRUE	FALSE	FALSE	FALSE	13	211 _ 556	TRUE	TRUE
Idiopathic pulmonary fibrosis 	Adenomatous polyps 2	516	211	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	Idiopathic pulmonary fibrosis	Adenomatous polyps	0.0827134692857651	6.75014673762344e-15	1.87313150515985e-14	TRUE	TRUE	FALSE	FALSE	14	211 _ 516	TRUE	TRUE
Down syndrome 1	Adenomatous polyps 2	758	211	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	Down syndrome	Adenomatous polyps	-0.109817638812257	8.14255962678585e-12	2.01608139663815e-11	FALSE	FALSE	TRUE	FALSE	15	211 _ 758	FALSE	FALSE
Autism 	Adenomatous polyps 2	299	211	mental disorders	neoplasms	#805462	#FFB6AD	Autism	Adenomatous polyps	0.187094121943876	2.04392274501975e-31	8.6252279455818e-31	FALSE	FALSE	FALSE	FALSE	16	211 _ 299	TRUE	TRUE
Chronic lymphocytic leukemia 2	Adenomatous polyps 1	204	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Chronic lymphocytic leukemia	Adenomatous polyps	-0.0607201595053087	0.00211947735490243	0.00330812494395439	FALSE	FALSE	TRUE	FALSE	17	204 _ 211	FALSE	FALSE
Alagille syndrome 	Adenomatous polyps 1	759	211	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	Alagille syndrome	Adenomatous polyps	-0.147810421979828	2.51766143612513e-08	5.37199957910781e-08	FALSE	FALSE	TRUE	FALSE	18	211 _ 759	FALSE	FALSE
Kaposi's sarcoma 1	Adenomatous polyps 1	176	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Kaposi's sarcoma	Adenomatous polyps	0.0595290651056258	0.000520755194924706	0.00085437699668121	TRUE	FALSE	FALSE	FALSE	19	176 _ 211	TRUE	TRUE
Lymphocytic colitis 	Adenomatous polyps 2	558	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Lymphocytic colitis	Adenomatous polyps	0.137648400300023	1.37038916885717e-17	4.14753164176478e-17	TRUE	TRUE	FALSE	FALSE	20	211 _ 558	TRUE	TRUE
Facioscapulohumeral muscular dystrophy 4	Adenomatous polyps 2	359	211	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	Facioscapulohumeral muscular dystrophy	Adenomatous polyps	0.205658201893713	1.07784722245223e-37	5.09866439560929e-37	TRUE	FALSE	TRUE	TRUE	21	211 _ 359	TRUE	TRUE
Crohn's disease 2	Adenomatous polyps 1	555	211	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	Crohn's disease	Adenomatous polyps	0.193347911778547	2.60028280046989e-81	2.198372239958e-80	TRUE	FALSE	TRUE	FALSE	22	211 _ 555	TRUE	TRUE
Papillary thyroid cancer 3	Adenomatous polyps 2	193	211	neoplasms	neoplasms	#FFB6AD	#FFB6AD	Papillary thyroid cancer	Adenomatous polyps	0.0931564690799816	3.59356701359171e-12	9.02457868979055e-12	FALSE	FALSE	TRUE	FALSE	23	193 _ 211	FALSE	FALSE
