Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Distance	pvalue	adj_pvalue	in_epidem	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Ulcer	Breast cancer	569	174	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.109321445605686	7.88043726606718e-30	3.69158451608281e-29	FALSE	TRUE	FALSE	108	174 _ 569	FALSE	FALSE
Eosinophilic esophagitis	Breast cancer	530	174	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.0762292394527959	5.63177086991727e-15	1.70118320070605e-14	FALSE	TRUE	FALSE	109	174 _ 530	FALSE	FALSE
Adenomatous polyps	Breast cancer	211	174	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.228952785695228	2.24980027557642e-105	3.4575877919385e-104	FALSE	TRUE	FALSE	110	174 _ 211	FALSE	TRUE
Facioscapulohumeral muscular dystrophy	Breast cancer	359	174	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.161742218629438	7.07706144408794e-51	5.20966876052188e-50	FALSE	TRUE	FALSE	111	174 _ 359	FALSE	FALSE
Parkinson's disease	Cardiomyopathy	332	425	diseases of the nervous system and sense organs	diseases of the circulatory system	#985396	#DD3232	-0.244127986353689	1.94402328113695e-63	1.72016605482421e-62	FALSE	TRUE	FALSE	112	332 _ 425	FALSE	FALSE
Chronic obstructive pulmonary disease	Cardiomyopathy	496	425	diseases of the respiratory system	diseases of the circulatory system	#00619C	#DD3232	0.340446271725036	5.4652577967069e-216	1.84137147304432e-214	TRUE	TRUE	TRUE	113	425 _ 496	TRUE	TRUE
Eosinophilic esophagitis	Cardiomyopathy	530	425	diseases of the digestive system	diseases of the circulatory system	#FBAF5F	#DD3232	0.0589541631769665	2.37442892906461e-05	4.27104669786571e-05	TRUE	TRUE	FALSE	114	425 _ 530	TRUE	TRUE
Multiple sclerosis	Cardiomyopathy	340	425	diseases of the nervous system and sense organs	diseases of the circulatory system	#985396	#DD3232	-0.126380122175922	0.00952240914162419	0.0137197868553664	FALSE	TRUE	TRUE	115	340 _ 425	FALSE	FALSE
Ulcer	Cardiomyopathy	569	425	diseases of the digestive system	diseases of the circulatory system	#FBAF5F	#DD3232	-0.0431742127893297	0.00252471572600295	0.00390061900525324	FALSE	TRUE	FALSE	116	425 _ 569	FALSE	FALSE
Smoker	Chronic lymphocytic leukemia	305	204	mental disorders	neoplasms	#805462	#FFB6AD	0.168138650517738	1.15719542298325e-11	3.00802133689414e-11	FALSE	TRUE	FALSE	117	204 _ 305	FALSE	TRUE
Adenomatous polyps	Chronic lymphocytic leukemia	211	204	neoplasms	neoplasms	#FFB6AD	#FFB6AD	-0.0812218211397457	0.000607859404117669	0.000984260329033415	FALSE	TRUE	FALSE	118	204 _ 211	FALSE	FALSE
Crohn's disease	Chronic lymphocytic leukemia	555	204	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	-0.0621867819492675	3.35312217441904e-09	7.89606189459969e-09	FALSE	TRUE	FALSE	119	204 _ 555	FALSE	FALSE
Alagille syndrome	Chronic lymphocytic leukemia	759	204	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	0.261615521834104	1.50501634377889e-17	4.99277027390756e-17	TRUE	TRUE	TRUE	120	204 _ 759	TRUE	TRUE
Schizophrenia	Chronic lymphocytic leukemia	295	204	mental disorders	neoplasms	#805462	#FFB6AD	-0.0728820896432922	0.00727672881619057	0.0106063468269267	FALSE	TRUE	FALSE	121	204 _ 295	FALSE	FALSE
Prostate cancer	Chronic lymphocytic leukemia	185	204	neoplasms	neoplasms	#FFB6AD	#FFB6AD	-0.0868148532270658	0.00536911669647504	0.00797177326459684	FALSE	TRUE	FALSE	122	185 _ 204	FALSE	FALSE
Down syndrome	Chronic lymphocytic leukemia	758	204	congenital anomalies	neoplasms	#AEC6CC	#FFB6AD	0.0683929921741796	0.0264654387115475	0.0362245692364306	FALSE	TRUE	FALSE	123	204 _ 758	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Chronic lymphocytic leukemia	359	204	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	-0.0953248719067844	0.00222740093819875	0.00346572508323641	FALSE	TRUE	FALSE	124	204 _ 359	FALSE	FALSE
Papillary thyroid cancer	Chronic lymphocytic leukemia	193	204	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0424495526019642	0.0360180286642293	0.0482443319722705	FALSE	TRUE	FALSE	125	193 _ 204	FALSE	TRUE
Bipolar disorder	Chronic lymphocytic leukemia	296	204	mental disorders	neoplasms	#805462	#FFB6AD	-0.119467836765297	0.000124214277427555	0.000211284868012696	FALSE	TRUE	FALSE	126	204 _ 296	FALSE	FALSE
Chronic obstructive pulmonary disease	Chronic lymphocytic leukemia	496	204	diseases of the respiratory system	neoplasms	#00619C	#FFB6AD	-0.13611323803147	6.35283118199976e-36	3.43523463915543e-35	FALSE	TRUE	FALSE	127	204 _ 496	FALSE	FALSE
Colorectal cancer	Chronic lymphocytic leukemia	153	204	neoplasms	neoplasms	#FFB6AD	#FFB6AD	0.0584446766810863	0.0131893565111565	0.0187562927009303	FALSE	TRUE	FALSE	128	153 _ 204	FALSE	TRUE
Cardiomyopathy	Chronic lymphocytic leukemia	425	204	diseases of the circulatory system	neoplasms	#DD3232	#FFB6AD	0.0991481606047677	0.000756093999777217	0.00121529971340338	FALSE	TRUE	FALSE	129	204 _ 425	TRUE	TRUE
Parkinson's disease	Chronic lymphocytic leukemia	332	204	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.0852025770110753	7.91353437431022e-10	1.90971242751949e-09	FALSE	TRUE	FALSE	130	204 _ 332	TRUE	TRUE
Parkinson's disease	Chronic obstructive pulmonary disease	332	496	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	-0.201752330065248	2.87576579878176e-92	3.49884838851781e-91	FALSE	TRUE	FALSE	131	332 _ 496	FALSE	FALSE
Muscular dystrophy	Chronic obstructive pulmonary disease	359	496	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	0.054180496169646	1.40754698334311e-06	2.75841422239052e-06	TRUE	FALSE	FALSE	132	359 _ 496	TRUE	TRUE
Ulcer	Chronic obstructive pulmonary disease	569	496	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	0.162163001379098	4.98423307049066e-62	4.19825785552867e-61	TRUE	TRUE	FALSE	133	496 _ 569	TRUE	TRUE
Bipolar disorder	Chronic obstructive pulmonary disease	296	496	mental disorders	diseases of the respiratory system	#805462	#00619C	0.0985583012765599	1.49493374522145e-18	5.09557183196105e-18	TRUE	TRUE	FALSE	134	296 _ 496	TRUE	TRUE
Lymphocytic colitis	Chronic obstructive pulmonary disease	558	496	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	-0.0582798648531652	2.10839229145723e-07	4.33556724722191e-07	FALSE	TRUE	FALSE	135	496 _ 558	FALSE	FALSE
Crohn's disease	Coeliac disease	555	579	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	-0.0366374309151975	0.000678153094022694	0.0010920259381689	FALSE	TRUE	FALSE	136	555 _ 579	FALSE	FALSE
Ulcer	Coeliac disease	569	579	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	0.0557182312698634	0.000113456015177377	0.000194203965409663	TRUE	TRUE	FALSE	137	569 _ 579	TRUE	TRUE
Glioblastoma	Coeliac disease	191	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.0718077870450389	2.0127719032264e-11	5.1858476094892e-11	FALSE	TRUE	FALSE	138	191 _ 579	FALSE	FALSE
Sessile serrated polyps	Coeliac disease	211	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.100647160182762	1.2559150667637e-07	2.64466730405048e-07	TRUE	TRUE	FALSE	139	211 _ 579	TRUE	TRUE
Chronic obstructive pulmonary disease	Coeliac disease	496	579	diseases of the respiratory system	diseases of the digestive system	#00619C	#FBAF5F	-0.158711845348987	7.87409722215927e-46	5.22553724743297e-45	FALSE	TRUE	FALSE	140	496 _ 579	FALSE	FALSE
Chronic lymphocytic leukemia	Coeliac disease	204	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	-0.255012968431951	1.0410075970393e-16	3.32818487228623e-16	FALSE	TRUE	TRUE	141	204 _ 579	FALSE	FALSE
Hyperplastic polyps	Coeliac disease	211	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.183030307069537	1.30446638861826e-33	6.76161275993846e-33	TRUE	TRUE	FALSE	142	211 _ 579	TRUE	TRUE
Adenomatous polyps	Coeliac disease	211	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.219949518536578	2.68265363038949e-10	6.65723677116486e-10	TRUE	TRUE	FALSE	143	211 _ 579	TRUE	TRUE
Papillary thyroid cancer	Coeliac disease	193	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.0969172183446889	0.000159627218220877	0.000267663311360615	FALSE	TRUE	FALSE	144	193 _ 579	FALSE	FALSE
Smoker	Coeliac disease	305	579	mental disorders	diseases of the digestive system	#805462	#FBAF5F	0.418009751208761	9.62775221733723e-28	4.15463593221055e-27	TRUE	TRUE	TRUE	145	305 _ 579	TRUE	TRUE
Eosinophilic esophagitis	Coeliac disease	530	579	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	-0.112425559920441	1.227598291267e-15	3.77324948473647e-15	FALSE	TRUE	FALSE	146	530 _ 579	FALSE	FALSE
Familial dysautonomia	Coeliac disease	742	579	congenital anomalies	diseases of the digestive system	#AEC6CC	#FBAF5F	0.116750622965296	0.000136141510236529	0.000230231588739767	TRUE	TRUE	FALSE	147	579 _ 742	TRUE	TRUE
Idiopathic pulmonary fibrosis	Coeliac disease	516	579	diseases of the respiratory system	diseases of the digestive system	#00619C	#FBAF5F	0.136087189835016	2.5336019021354e-28	1.11529410365357e-27	TRUE	TRUE	FALSE	148	516 _ 579	TRUE	TRUE
Parkinson's disease	Coeliac disease	332	579	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	0.156481803465758	4.4866076943192e-26	1.84519640386086e-25	FALSE	TRUE	FALSE	149	332 _ 579	TRUE	TRUE
Breast cancer	Coeliac disease	174	579	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.0813803637541105	5.86033589276525e-14	1.71694121808106e-13	FALSE	TRUE	FALSE	150	174 _ 579	FALSE	FALSE
Parkinson's disease	Colorectal cancer	332	153	diseases of the nervous system and sense organs	neoplasms	#985396	#FFB6AD	0.0482614265147049	0.000594380886850477	0.000964217883112995	FALSE	TRUE	FALSE	151	153 _ 332	FALSE	FALSE
Eosinophilic esophagitis	Colorectal cancer	530	153	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.098558500233156	2.22061615049909e-13	6.23480688409361e-13	FALSE	TRUE	FALSE	152	153 _ 530	FALSE	FALSE
Bipolar disorder	Colorectal cancer	296	153	mental disorders	neoplasms	#805462	#FFB6AD	-0.0719889172922294	0.0375438038249891	0.04998232849649	FALSE	TRUE	FALSE	153	153 _ 296	FALSE	FALSE
Lymphocytic colitis	Colorectal cancer	558	153	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.445814528066564	5.12290855750835e-42	3.16032950449107e-41	TRUE	TRUE	TRUE	154	153 _ 558	TRUE	TRUE
Ulcer	Colorectal cancer	569	153	diseases of the digestive system	neoplasms	#FBAF5F	#FFB6AD	0.22973434190311	5.14775278407635e-64	4.60146065188866e-63	TRUE	TRUE	FALSE	155	153 _ 569	TRUE	TRUE
Muscular dystrophy	Crohn's disease	359	555	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	0.0243992580602065	0.0236540637237707	0.0325289793124382	TRUE	FALSE	FALSE	156	359 _ 555	TRUE	TRUE
Chronic obstructive pulmonary disease	Crohn's disease	496	555	diseases of the respiratory system	diseases of the digestive system	#00619C	#FBAF5F	0.280131233733633	7.03252989502381e-214	2.20017721001459e-212	TRUE	TRUE	FALSE	157	496 _ 555	TRUE	TRUE
Ulcer	Crohn's disease	569	555	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	0.71306967843203	0	0	TRUE	TRUE	TRUE	158	555 _ 569	TRUE	TRUE
Multiple sclerosis	Crohn's disease	340	555	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	0.103467436499277	2.84460114836016e-22	1.06037047062277e-21	FALSE	TRUE	FALSE	159	340 _ 555	FALSE	TRUE
Colorectal cancer	Crohn's disease	153	555	neoplasms	diseases of the digestive system	#FFB6AD	#FBAF5F	0.239299990533595	1.24617950166763e-115	2.05972310086952e-114	FALSE	TRUE	FALSE	160	153 _ 555	TRUE	TRUE
Down syndrome	Crohn's disease	758	555	congenital anomalies	diseases of the digestive system	#AEC6CC	#FBAF5F	0.0316162738434145	0.00333357456727731	0.00506102481964458	FALSE	TRUE	FALSE	161	555 _ 758	FALSE	FALSE
Bipolar disorder	Crohn's disease	296	555	mental disorders	diseases of the digestive system	#805462	#FBAF5F	0.0484869087207996	6.84400249578258e-06	1.29210047118654e-05	TRUE	TRUE	FALSE	162	296 _ 555	TRUE	TRUE
Eosinophilic esophagitis	Crohn's disease	530	555	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	0.0999827846141328	2.16279210986883e-25	8.77132355669024e-25	TRUE	TRUE	FALSE	163	530 _ 555	TRUE	TRUE
Lymphocytic colitis	Crohn's disease	558	555	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	0.16516693510872	1.18726409416142e-53	8.96589091797763e-53	TRUE	TRUE	FALSE	164	555 _ 558	TRUE	TRUE
Parkinson's disease	Crohn's disease	332	555	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	-0.0312044037263351	0.00130278005137103	0.00205999156137369	FALSE	TRUE	FALSE	165	332 _ 555	FALSE	FALSE
Cardiomyopathy	Crohn's disease	425	555	diseases of the circulatory system	diseases of the digestive system	#DD3232	#FBAF5F	0.157347928555119	4.19883646433568e-49	3.01490224816234e-48	FALSE	TRUE	FALSE	166	425 _ 555	FALSE	FALSE
Ulcer	Down syndrome	569	758	diseases of the digestive system	congenital anomalies	#FBAF5F	#AEC6CC	0.0756839815264878	1.43984943011111e-07	3.00311452566032e-07	FALSE	TRUE	FALSE	167	569 _ 758	TRUE	TRUE
Eosinophilic esophagitis	Down syndrome	530	758	diseases of the digestive system	congenital anomalies	#FBAF5F	#AEC6CC	-0.053147465269408	0.000156079362080169	0.000262429023382395	FALSE	TRUE	FALSE	168	530 _ 758	FALSE	FALSE
Parkinson's disease	Down syndrome	332	758	diseases of the nervous system and sense organs	congenital anomalies	#985396	#AEC6CC	0.119251069320104	8.39433594626333e-16	2.59838808795996e-15	FALSE	TRUE	FALSE	169	332 _ 758	TRUE	TRUE
Chronic obstructive pulmonary disease	Down syndrome	496	758	diseases of the respiratory system	congenital anomalies	#00619C	#AEC6CC	-0.0280817786746472	0.0123859118621261	0.0176711055231637	FALSE	TRUE	FALSE	170	496 _ 758	FALSE	FALSE
Ulcer	Eosinophilic esophagitis	569	530	diseases of the digestive system	diseases of the digestive system	#FBAF5F	#FBAF5F	0.0756379489339132	7.18610304551069e-12	1.89609224935764e-11	TRUE	TRUE	FALSE	171	530 _ 569	TRUE	TRUE
Parkinson's disease	Eosinophilic esophagitis	332	530	diseases of the nervous system and sense organs	diseases of the digestive system	#985396	#FBAF5F	-0.057386133064755	2.681705429662e-07	5.50157835218714e-07	FALSE	TRUE	FALSE	172	332 _ 530	FALSE	FALSE
Bipolar disorder	Eosinophilic esophagitis	296	530	mental disorders	diseases of the digestive system	#805462	#FBAF5F	0.0825011462015924	4.53978071286688e-09	1.0493002386468e-08	TRUE	TRUE	FALSE	173	296 _ 530	TRUE	TRUE
Crohn's disease	Facioscapulohumeral muscular dystrophy	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	-0.08565621195919	1.76400194058634e-15	5.38420104513461e-15	FALSE	TRUE	FALSE	174	359 _ 555	FALSE	FALSE
Adenomatous polyps	Facioscapulohumeral muscular dystrophy	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0832175929033661	0.0180562731752332	0.0253482296498465	TRUE	TRUE	FALSE	175	211 _ 359	TRUE	TRUE
Chronic obstructive pulmonary disease	Facioscapulohumeral muscular dystrophy	496	359	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	-0.19191059105172	1.46216512454921e-66	1.37726521409151e-65	FALSE	TRUE	TRUE	176	359 _ 496	FALSE	FALSE
Ulcer	Facioscapulohumeral muscular dystrophy	569	359	diseases of the digestive system	diseases of the nervous system and sense organs	#FBAF5F	#985396	0.0423433090451119	0.00336410658353499	0.00509854215774506	TRUE	TRUE	FALSE	177	359 _ 569	TRUE	TRUE
Hyperplastic polyps	Facioscapulohumeral muscular dystrophy	211	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.21845671195314	1.75633711057563e-47	1.21145772351516e-46	TRUE	TRUE	TRUE	178	211 _ 359	TRUE	TRUE
Colorectal cancer	Facioscapulohumeral muscular dystrophy	153	359	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	0.0863507718561553	0.0125549728811272	0.0178831808843373	FALSE	TRUE	FALSE	179	153 _ 359	FALSE	TRUE
Parkinson's disease	Facioscapulohumeral muscular dystrophy	332	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	0.101567234280258	8.45435014977198e-12	2.21736848239529e-11	TRUE	TRUE	FALSE	180	332 _ 359	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Familial dysautonomia	359	742	diseases of the nervous system and sense organs	congenital anomalies	#985396	#AEC6CC	0.143113247132872	2.80421345401184e-06	5.44676493506513e-06	TRUE	TRUE	FALSE	181	359 _ 742	TRUE	TRUE
Chronic lymphocytic leukemia	Familial dysautonomia	204	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	-0.147164216690674	3.43655296337142e-11	8.77673584814392e-11	FALSE	TRUE	FALSE	182	204 _ 742	FALSE	FALSE
Alagille syndrome	Familial dysautonomia	759	742	congenital anomalies	congenital anomalies	#AEC6CC	#AEC6CC	-0.135237037082099	9.57908098406218e-06	1.76658419832389e-05	FALSE	TRUE	FALSE	183	742 _ 759	FALSE	FALSE
Bipolar disorder	Familial dysautonomia	296	742	mental disorders	congenital anomalies	#805462	#AEC6CC	0.372719447630372	2.2684874877955e-36	1.24199689956804e-35	TRUE	TRUE	FALSE	184	296 _ 742	TRUE	TRUE
Down syndrome	Familial dysautonomia	758	742	congenital anomalies	congenital anomalies	#AEC6CC	#AEC6CC	-0.0765638425388883	0.0113769437191097	0.0162580794419903	FALSE	TRUE	FALSE	185	742 _ 758	FALSE	FALSE
Eosinophilic esophagitis	Familial dysautonomia	530	742	diseases of the digestive system	congenital anomalies	#FBAF5F	#AEC6CC	0.0687347408497712	1.45792232965987e-07	3.02639801133187e-07	TRUE	TRUE	FALSE	186	530 _ 742	TRUE	TRUE
Autism	Familial dysautonomia	299	742	mental disorders	congenital anomalies	#805462	#AEC6CC	0.322934540602922	2.84350033439265e-27	1.20333637339515e-26	TRUE	TRUE	FALSE	187	299 _ 742	TRUE	TRUE
Hyperplastic polyps	Familial dysautonomia	211	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	0.0732219783188232	1.51915478517223e-07	3.14605104447015e-07	TRUE	TRUE	FALSE	188	211 _ 742	TRUE	TRUE
Cardiomyopathy	Familial dysautonomia	425	742	diseases of the circulatory system	congenital anomalies	#DD3232	#AEC6CC	-0.0736499393072831	0.0112789176753876	0.0161443331432018	FALSE	TRUE	FALSE	189	425 _ 742	FALSE	FALSE
Adenomatous polyps	Familial dysautonomia	211	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	0.300070515918785	1.41650515456426e-39	8.32790949931738e-39	TRUE	TRUE	FALSE	190	211 _ 742	TRUE	TRUE
Liver cancer	Familial dysautonomia	155	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	0.0779858593698785	1.1251767920858e-11	2.93349663650941e-11	FALSE	TRUE	FALSE	191	155 _ 742	FALSE	FALSE
Schizophrenia	Familial dysautonomia	295	742	mental disorders	congenital anomalies	#805462	#AEC6CC	0.169005992389519	2.76841558197098e-10	6.85065550792818e-10	TRUE	TRUE	FALSE	192	295 _ 742	TRUE	TRUE
Parkinson's disease	Familial dysautonomia	332	742	diseases of the nervous system and sense organs	congenital anomalies	#985396	#AEC6CC	0.225480487465233	1.13142293930842e-61	9.43929995080172e-61	TRUE	TRUE	FALSE	193	332 _ 742	TRUE	TRUE
Human immunodeficiency virus infection	Familial dysautonomia	42	742	infectious and parasitic diseases	congenital anomalies	#A1CE5E	#AEC6CC	-0.160961235113466	1.31894862661603e-07	2.77074099979771e-07	FALSE	TRUE	TRUE	194	42 _ 742	FALSE	FALSE
Multiple sclerosis	Familial dysautonomia	340	742	diseases of the nervous system and sense organs	congenital anomalies	#985396	#AEC6CC	-0.060266279118578	0.0279049666029963	0.0381353365744537	FALSE	TRUE	FALSE	195	340 _ 742	FALSE	FALSE
Idiopathic pulmonary fibrosis	Familial dysautonomia	516	742	diseases of the respiratory system	congenital anomalies	#00619C	#AEC6CC	0.203795836124736	3.08146364258215e-68	2.96633203395821e-67	FALSE	TRUE	FALSE	196	516 _ 742	TRUE	TRUE
Breast cancer	Familial dysautonomia	174	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	0.0621653811167468	3.45620784237385e-09	8.11699214455627e-09	FALSE	TRUE	FALSE	197	174 _ 742	FALSE	FALSE
Prostate cancer	Familial dysautonomia	185	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	0.189168668552616	5.08207378091583e-10	1.24354654527438e-09	FALSE	TRUE	FALSE	198	185 _ 742	FALSE	FALSE
Ischemia	Familial dysautonomia	414	742	diseases of the circulatory system	congenital anomalies	#DD3232	#AEC6CC	0.16489597513145	6.14306783453723e-08	1.33201173837986e-07	FALSE	TRUE	FALSE	199	414 _ 742	TRUE	TRUE
Sessile serrated polyps	Familial dysautonomia	211	742	neoplasms	congenital anomalies	#FFB6AD	#AEC6CC	-0.0350716130881459	0.0341085902315606	0.0458972734913166	FALSE	TRUE	FALSE	200	211 _ 742	FALSE	FALSE
Crohn's disease	Familial dysautonomia	555	742	diseases of the digestive system	congenital anomalies	#FBAF5F	#AEC6CC	-0.085117679809004	3.27329781853464e-16	1.0389162641436e-15	FALSE	TRUE	FALSE	201	555 _ 742	FALSE	FALSE
Ulcer	Familial pulmonary arterial hypertension	569	416	diseases of the digestive system	diseases of the circulatory system	#FBAF5F	#DD3232	0.080339498793091	2.54507741817419e-08	5.63001974323381e-08	TRUE	TRUE	FALSE	202	416 _ 569	TRUE	TRUE
Borrelia burgdorferi infection	Familial pulmonary arterial hypertension	88	416	infectious and parasitic diseases	diseases of the circulatory system	#A1CE5E	#DD3232	0.202073518267847	3.29810866279993e-44	2.14010606563906e-43	FALSE	TRUE	FALSE	203	88 _ 416	FALSE	FALSE
Familial dysautonomia	Familial pulmonary arterial hypertension	742	416	congenital anomalies	diseases of the circulatory system	#AEC6CC	#DD3232	0.081889078760059	0.00755735148432706	0.0109970762462965	TRUE	TRUE	FALSE	204	416 _ 742	TRUE	TRUE
Colorectal cancer	Familial pulmonary arterial hypertension	153	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	-0.0958897553438985	0.00555238523897335	0.00821602950902138	FALSE	TRUE	TRUE	205	153 _ 416	FALSE	FALSE
Schizophrenia	Familial pulmonary arterial hypertension	295	416	mental disorders	diseases of the circulatory system	#805462	#DD3232	0.114588864526019	0.0323490595073781	0.0436637536648123	FALSE	TRUE	FALSE	206	295 _ 416	FALSE	FALSE
Chronic lymphocytic leukemia	Familial pulmonary arterial hypertension	204	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	-0.0727058329208203	0.0197935100490232	0.0275224044491179	FALSE	TRUE	FALSE	207	204 _ 416	FALSE	FALSE
Breast cancer	Familial pulmonary arterial hypertension	174	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	-0.103574244577955	1.0744339510173e-21	3.9713254898361e-21	FALSE	TRUE	FALSE	208	174 _ 416	FALSE	FALSE
Smoker	Familial pulmonary arterial hypertension	305	416	mental disorders	diseases of the circulatory system	#805462	#DD3232	0.129855610487289	0.00116036946213058	0.00184145588555506	TRUE	TRUE	FALSE	209	305 _ 416	TRUE	TRUE
Glioblastoma	Familial pulmonary arterial hypertension	191	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	-0.052545144882639	9.41505237309966e-07	1.86596965584509e-06	FALSE	TRUE	FALSE	210	191 _ 416	FALSE	FALSE
Liver cancer	Familial pulmonary arterial hypertension	155	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	-0.046251955970958	0.000130081553113156	0.000220408975874516	FALSE	TRUE	FALSE	211	155 _ 416	FALSE	FALSE
Sessile serrated polyps	Familial pulmonary arterial hypertension	211	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	0.161711136708167	1.51037000295149e-17	4.99277027390756e-17	TRUE	TRUE	FALSE	212	211 _ 416	TRUE	TRUE
Hyperplastic polyps	Familial pulmonary arterial hypertension	211	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	0.244455998323757	2.29813282973043e-59	1.81366158454402e-58	TRUE	TRUE	TRUE	213	211 _ 416	TRUE	TRUE
Eosinophilic esophagitis	Familial pulmonary arterial hypertension	530	416	diseases of the digestive system	diseases of the circulatory system	#FBAF5F	#DD3232	-0.211862363377572	3.33001351879352e-52	2.49324089099412e-51	FALSE	TRUE	TRUE	214	416 _ 530	FALSE	FALSE
Idiopathic pulmonary fibrosis	Familial pulmonary arterial hypertension	516	416	diseases of the respiratory system	diseases of the circulatory system	#00619C	#DD3232	0.176029651271744	1.5962033008691e-46	1.06738480271857e-45	TRUE	TRUE	FALSE	215	416 _ 516	TRUE	TRUE
Parkinson's disease	Familial pulmonary arterial hypertension	332	416	diseases of the nervous system and sense organs	diseases of the circulatory system	#985396	#DD3232	0.0533129678717844	0.00034532211425023	0.000567546289086682	FALSE	TRUE	FALSE	216	332 _ 416	FALSE	FALSE
Chronic obstructive pulmonary disease	Familial pulmonary arterial hypertension	496	416	diseases of the respiratory system	diseases of the circulatory system	#00619C	#DD3232	0.0595800377573162	1.12367426516532e-07	2.3776296045527e-07	TRUE	TRUE	FALSE	217	416 _ 496	TRUE	TRUE
Papillary thyroid cancer	Familial pulmonary arterial hypertension	193	416	neoplasms	diseases of the circulatory system	#FFB6AD	#DD3232	0.0579894195745535	0.0240915608664799	0.0330786948574238	FALSE	TRUE	FALSE	218	193 _ 416	FALSE	FALSE
Autism	Friedreich's ataxia	299	334	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.054143517362301	0.00503577601857916	0.00750227855829141	FALSE	TRUE	FALSE	219	299 _ 334	FALSE	FALSE
Huntington's disease	Friedreich's ataxia	333	334	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	#985396	#985396	-0.101845387773584	5.25519188535266e-13	1.44765663256885e-12	FALSE	TRUE	FALSE	220	333 _ 334	FALSE	FALSE
Idiopathic pulmonary fibrosis	Friedreich's ataxia	516	334	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	0.0796429559813301	6.81792693321642e-13	1.87225830517166e-12	FALSE	TRUE	FALSE	221	334 _ 516	TRUE	TRUE
