Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Dis1_catcolor	Dis2_catcolor	Distance	pvalue	adj_pvalue	in_epidem	is_metric	is_ultrametric	id	icd_pairs	in_phi	in_epidem_total
Adenomatous polyps	Amyotrophic lateral sclerosis	211	335	neoplasms	diseases of the nervous system and sense organs	#FFB6AD	#985396	-0.399200779588465	2.65633381337516e-32	1.32968481172379e-31	FALSE	TRUE	TRUE	30	211 _ 335	FALSE	FALSE
Asthma	Amyotrophic lateral sclerosis	493	335	diseases of the respiratory system	diseases of the nervous system and sense organs	#00619C	#985396	-0.187301958908697	3.14141331682205e-11	8.04642709221086e-11	FALSE	TRUE	FALSE	31	335 _ 493	FALSE	FALSE
Schizophrenia	Amyotrophic lateral sclerosis	295	335	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	0.123261433371629	0.0208948142749413	0.0289617995329883	FALSE	FALSE	FALSE	32	295 _ 335	FALSE	TRUE
Borrelia burgdorferi infection	Amyotrophic lateral sclerosis	88	335	infectious and parasitic diseases	diseases of the nervous system and sense organs	#A1CE5E	#985396	0.0479504538545751	0.00104743218826239	0.0016652460924099	TRUE	TRUE	FALSE	33	88 _ 335	TRUE	TRUE
Smoker	Amyotrophic lateral sclerosis	305	335	mental disorders	diseases of the nervous system and sense organs	#805462	#985396	-0.386084046534868	1.19491603095344e-23	4.67297519247865e-23	FALSE	TRUE	TRUE	34	305 _ 335	FALSE	FALSE
Chronic lymphocytic leukemia	Asthma	204	493	neoplasms	diseases of the respiratory system	#FFB6AD	#00619C	0.0708242615408083	0.000903596838365583	0.00144443582191287	FALSE	TRUE	FALSE	35	204 _ 493	TRUE	TRUE
Schizophrenia	Asthma	295	493	mental disorders	diseases of the respiratory system	#805462	#00619C	0.0549969571226105	0.030164719962034	0.0409678987391346	TRUE	TRUE	FALSE	36	295 _ 493	TRUE	TRUE
Bipolar disorder	Asthma	296	493	mental disorders	diseases of the respiratory system	#805462	#00619C	-0.0605022765306209	0.0334315225210852	0.0450554057361087	FALSE	TRUE	FALSE	37	296 _ 493	FALSE	FALSE
Multiple sclerosis	Asthma	340	493	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	0.0949759279358774	0.000219071471283585	0.000364841461681408	FALSE	TRUE	FALSE	38	340 _ 493	FALSE	TRUE
Muscular dystrophy	Asthma	359	493	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	-0.142468296699517	4.92183160238454e-07	9.91155053721576e-07	FALSE	TRUE	FALSE	39	359 _ 493	FALSE	FALSE
Parkinson's disease	Asthma	332	493	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	0.277329723655403	6.31962860470511e-96	8.14116861429658e-95	FALSE	TRUE	TRUE	40	332 _ 493	FALSE	TRUE
Hyperplastic polyps	Asthma	211	493	neoplasms	diseases of the respiratory system	#FFB6AD	#00619C	0.227749789885049	3.57358057944231e-62	3.03927824038006e-61	TRUE	TRUE	FALSE	41	211 _ 493	TRUE	TRUE
Smoker	Asthma	305	493	mental disorders	diseases of the respiratory system	#805462	#00619C	0.175194176608483	4.35477365532161e-14	1.28012809465159e-13	TRUE	TRUE	FALSE	42	305 _ 493	TRUE	TRUE
Papillary thyroid cancer	Asthma	193	493	neoplasms	diseases of the respiratory system	#FFB6AD	#00619C	0.248408063923064	4.98762361543227e-38	2.80074249174274e-37	FALSE	TRUE	FALSE	43	193 _ 493	FALSE	FALSE
Ulcer	Asthma	569	493	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	0.224738052316728	1.80371329046026e-65	1.64588837754499e-64	TRUE	TRUE	FALSE	44	493 _ 569	TRUE	TRUE
Adenomatous polyps	Asthma	211	493	neoplasms	diseases of the respiratory system	#FFB6AD	#00619C	-0.0521462287705082	0.0195079739579957	0.0271684979128843	FALSE	TRUE	FALSE	45	211 _ 493	FALSE	FALSE
Eosinophilic esophagitis	Asthma	530	493	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	0.0824373118526375	2.56072567896389e-10	6.39087092527741e-10	TRUE	TRUE	FALSE	46	493 _ 530	TRUE	TRUE
Keratoconus	Asthma	371	493	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	-0.12064525052184	2.11160657827836e-05	3.82183339374347e-05	FALSE	TRUE	FALSE	47	371 _ 493	FALSE	FALSE
Facioscapulohumeral muscular dystrophy	Asthma	359	493	diseases of the nervous system and sense organs	diseases of the respiratory system	#985396	#00619C	0.0785141099502803	0.00574879890292945	0.0084923235058452	TRUE	TRUE	FALSE	48	359 _ 493	TRUE	TRUE
Chronic obstructive pulmonary disease	Asthma	496	493	diseases of the respiratory system	diseases of the respiratory system	#00619C	#00619C	-0.231016544028492	2.43583951385611e-104	3.61660239684398e-103	FALSE	TRUE	TRUE	49	493 _ 496	FALSE	FALSE
Lymphocytic colitis	Asthma	558	493	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	-0.0670436620405283	0.0184079812777126	0.025800626558842	FALSE	TRUE	FALSE	50	493 _ 558	FALSE	FALSE
Crohn's disease	Asthma	555	493	diseases of the digestive system	diseases of the respiratory system	#FBAF5F	#00619C	0.0217795648021534	0.0366578718442603	0.0489516703286159	TRUE	TRUE	FALSE	51	493 _ 555	TRUE	TRUE
Cardiomyopathy	Asthma	425	493	diseases of the circulatory system	diseases of the respiratory system	#DD3232	#00619C	-0.191652021746981	1.042161928876e-12	2.84403068440928e-12	FALSE	TRUE	FALSE	52	425 _ 493	FALSE	FALSE
Alagille syndrome	Asthma	759	493	congenital anomalies	diseases of the respiratory system	#AEC6CC	#00619C	0.208163368549716	1.41336710752838e-13	4.01983631881448e-13	FALSE	TRUE	FALSE	53	493 _ 759	TRUE	TRUE
Breast cancer	Asthma	174	493	neoplasms	diseases of the respiratory system	#FFB6AD	#00619C	0.205229972658135	8.73639043051384e-87	9.81163848350016e-86	FALSE	TRUE	FALSE	54	174 _ 493	FALSE	TRUE
Colorectal cancer	Autism	153	299	neoplasms	mental disorders	#FFB6AD	#805462	0.105351670867498	0.00223305982480144	0.00346836951511713	FALSE	TRUE	FALSE	55	153 _ 299	FALSE	FALSE
Hyperplastic polyps	Autism	211	299	neoplasms	mental disorders	#FFB6AD	#805462	0.0511313225148804	0.00080520062189125	0.00129186033841893	FALSE	TRUE	FALSE	56	211 _ 299	TRUE	TRUE
Chronic lymphocytic leukemia	Autism	204	299	neoplasms	mental disorders	#FFB6AD	#805462	-0.111022426356932	0.000352513323030399	0.000578280282724026	FALSE	TRUE	FALSE	57	204 _ 299	FALSE	FALSE
Papillary thyroid cancer	Autism	193	299	neoplasms	mental disorders	#FFB6AD	#805462	0.054173753528547	0.0348150592555523	0.0467044286491023	FALSE	TRUE	FALSE	58	193 _ 299	FALSE	TRUE
Adenomatous polyps	Autism	211	299	neoplasms	mental disorders	#FFB6AD	#805462	0.262361918974659	3.00419183360827e-14	8.86084864054157e-14	FALSE	TRUE	FALSE	59	211 _ 299	TRUE	TRUE
Schizophrenia	Autism	295	299	mental disorders	mental disorders	#805462	#805462	0.431103302676886	1.87298531721776e-17	6.14507542278188e-17	TRUE	TRUE	TRUE	60	295 _ 299	TRUE	TRUE
Parkinson's disease	Autism	332	299	diseases of the nervous system and sense organs	mental disorders	#985396	#805462	0.0874729261955791	4.06762388181536e-09	9.45156106225531e-09	TRUE	TRUE	FALSE	61	299 _ 332	TRUE	TRUE
Multiple sclerosis	Autism	340	299	diseases of the nervous system and sense organs	mental disorders	#985396	#805462	0.148988287461279	0.0101359641815566	0.0145320861260942	FALSE	TRUE	FALSE	62	299 _ 340	TRUE	TRUE
Smoker	Autism	305	299	mental disorders	mental disorders	#805462	#805462	-0.186639557456742	2.48572464939997e-06	4.83887731749861e-06	FALSE	TRUE	TRUE	63	299 _ 305	FALSE	FALSE
Ulcer	Bipolar disorder	569	296	diseases of the digestive system	mental disorders	#FBAF5F	#805462	-0.0605109147289637	2.759609881509e-05	4.92345877026861e-05	FALSE	TRUE	FALSE	64	296 _ 569	FALSE	FALSE
Crohn's disease	Borrelia burgdorferi infection	555	88	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	0.0437874039583906	5.67817475133834e-06	1.07897637357319e-05	TRUE	TRUE	FALSE	65	88 _ 555	TRUE	TRUE
Down syndrome	Borrelia burgdorferi infection	758	88	congenital anomalies	infectious and parasitic diseases	#AEC6CC	#A1CE5E	-0.102707907329644	1.83052496765002e-12	4.93396883588128e-12	FALSE	TRUE	FALSE	66	88 _ 758	FALSE	FALSE
Breast cancer	Borrelia burgdorferi infection	174	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0558873559491784	1.14414054735078e-08	2.56991569097251e-08	FALSE	TRUE	FALSE	67	88 _ 174	FALSE	FALSE
Smoker	Borrelia burgdorferi infection	305	88	mental disorders	infectious and parasitic diseases	#805462	#A1CE5E	-0.0618830868225329	9.52457641760151e-06	1.76023817337952e-05	FALSE	TRUE	FALSE	68	88 _ 305	FALSE	FALSE
Schizophrenia	Borrelia burgdorferi infection	295	88	mental disorders	infectious and parasitic diseases	#805462	#A1CE5E	-0.0584237343864904	4.39964755392331e-05	7.69279692063238e-05	FALSE	TRUE	FALSE	69	88 _ 295	FALSE	FALSE
Lymphocytic colitis	Borrelia burgdorferi infection	558	88	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	-0.105601388903777	4.7147100416161e-13	1.30286624493871e-12	FALSE	TRUE	FALSE	70	88 _ 558	FALSE	FALSE
Eosinophilic esophagitis	Borrelia burgdorferi infection	530	88	diseases of the digestive system	infectious and parasitic diseases	#FBAF5F	#A1CE5E	-0.0315809415660482	0.00460284351486492	0.00690426527229737	FALSE	TRUE	FALSE	71	88 _ 530	FALSE	FALSE
Liver cancer	Borrelia burgdorferi infection	155	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0560291458927698	5.62666434770873e-08	1.22610894741116e-07	FALSE	TRUE	FALSE	72	88 _ 155	FALSE	FALSE
Systemic lupus erythematosus	Borrelia burgdorferi infection	710	88	diseases of the musculoskeletal system and connective tissue	infectious and parasitic diseases	#969A52	#A1CE5E	-0.0772773229725614	1.24434591945833e-07	2.62661933842288e-07	FALSE	TRUE	FALSE	73	88 _ 710	FALSE	FALSE
Colorectal cancer	Borrelia burgdorferi infection	153	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0748023723520311	6.49893328762591e-08	1.40223289654195e-07	FALSE	TRUE	FALSE	74	88 _ 153	FALSE	FALSE
Human immunodeficiency virus infection	Borrelia burgdorferi infection	42	88	infectious and parasitic diseases	infectious and parasitic diseases	#A1CE5E	#A1CE5E	-0.0435108355787221	0.00294527576945951	0.00451059715742401	FALSE	FALSE	FALSE	75	42 _ 88	FALSE	FALSE
Post-traumatic stress disorder	Borrelia burgdorferi infection	309	88	mental disorders	infectious and parasitic diseases	#805462	#A1CE5E	0.0656946708566617	7.05268361914451e-06	1.32863459147755e-05	FALSE	TRUE	FALSE	76	88 _ 309	TRUE	TRUE
Muscular dystrophy	Borrelia burgdorferi infection	359	88	diseases of the nervous system and sense organs	infectious and parasitic diseases	#985396	#A1CE5E	-0.0852106507781432	5.51374963198775e-09	1.2710643888477e-08	FALSE	TRUE	FALSE	77	88 _ 359	FALSE	FALSE
Papillary thyroid cancer	Borrelia burgdorferi infection	193	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0553622014985057	2.92654510578319e-05	5.17909800538601e-05	FALSE	TRUE	FALSE	78	88 _ 193	FALSE	FALSE
Alagille syndrome	Borrelia burgdorferi infection	759	88	congenital anomalies	infectious and parasitic diseases	#AEC6CC	#A1CE5E	-0.0465909182053304	0.00145206426036333	0.00229190683257347	FALSE	TRUE	FALSE	79	88 _ 759	FALSE	FALSE
Parkinson's disease	Borrelia burgdorferi infection	332	88	diseases of the nervous system and sense organs	infectious and parasitic diseases	#985396	#A1CE5E	-0.152557523241248	1.36813564073844e-41	8.38102672228582e-41	FALSE	TRUE	FALSE	80	88 _ 332	FALSE	FALSE
Sessile serrated polyps	Borrelia burgdorferi infection	211	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	0.0427766809607954	0.000542264119480385	0.000881304951140662	FALSE	TRUE	FALSE	81	88 _ 211	TRUE	TRUE
Adenomatous polyps	Borrelia burgdorferi infection	211	88	neoplasms	infectious and parasitic diseases	#FFB6AD	#A1CE5E	-0.0387359451746554	0.00515116283740598	0.00766115219960549	FALSE	TRUE	FALSE	82	88 _ 211	FALSE	FALSE
Cardiomyopathy	Borrelia burgdorferi infection	425	88	diseases of the circulatory system	infectious and parasitic diseases	#DD3232	#A1CE5E	0.0482002120354778	0.000876057037395672	0.00140297251326985	FALSE	TRUE	FALSE	83	88 _ 425	FALSE	TRUE
Asthma	Borrelia burgdorferi infection	493	88	diseases of the respiratory system	infectious and parasitic diseases	#00619C	#A1CE5E	-0.0752971414528851	1.99220802056148e-08	4.45197506635678e-08	FALSE	TRUE	FALSE	84	88 _ 493	FALSE	FALSE
