source	target	ultrametric_distance	is_ultrametric	distance
Prostate cancer 	Adenomatous polyps 2	0.32436417334444595	False	0.617220929270261
Prostate cancer 	Adenomatous polyps 1	0.32436417334444595	False	0.6763341803609381
Prostate cancer 	Asthma 1	0.586671509458353	False	0.9252992139261209
Prostate cancer 	Asthma 5	0.586671509458353	False	0.9540363714226924
Prostate cancer 	Borrelia burgdorferi infection 2	0.754173584443357	False	0.9656302618138755
Prostate cancer 	Breast cancer 1	0.661910013322777	False	0.9758538817150609
Prostate cancer 	Breast cancer 2	0.661910013322777	False	0.895624859340742
Prostate cancer 	Breast cancer 3	0.661910013322777	False	0.9429327738677786
Prostate cancer 	Coeliac disease 2	0.5556617362074251	False	0.876281127008842
Prostate cancer 	Colorectal cancer 4	0.45380292822610596	False	0.868378789857265
Prostate cancer 	Colorectal cancer 5	0.45380292822610596	False	0.8583953760920571
Prostate cancer 	Colorectal cancer 3	0.45380292822610596	False	0.862348799298648
Prostate cancer 	Colorectal cancer 2	0.45380292822610596	False	0.8560301536675471
Prostate cancer 	Colorectal cancer 1	0.45380292822610596	False	0.8819835374733781
Prostate cancer 	Familial dysautonomia 2	0.4384347775534539	False	0.81996406681258
Prostate cancer 	Familial dysautonomia 	0.4384347775534539	False	0.810832331447384
Prostate cancer 	Familial dysautonomia 1	0.4384347775534539	False	0.72520305932082
Prostate cancer 	Glioblastoma 2	0.4769259466425399	False	0.9519814253950508
Prostate cancer 	Glioblastoma 1	0.4769259466425399	False	0.9334395064660104
Prostate cancer 	Huntington's disease 1	0.3880298957688339	False	0.9648574754910936
Prostate cancer 	Hyperplastic polyps 3	0.525523079605647	False	0.739993856822121
Prostate cancer 	Hyperplastic polyps 1	0.525523079605647	False	0.794325378079005
Prostate cancer 	Hyperplastic polyps 4	0.525523079605647	False	0.7550256812652251
Prostate cancer 	Hyperplastic polyps 2	0.525523079605647	False	0.7349856778326561
Prostate cancer 	Idiopathic pulmonary fibrosis 1	0.661910013322777	False	0.733830543391801
Prostate cancer 	Idiopathic pulmonary fibrosis 2	0.661910013322777	False	0.8017350724911151
Prostate cancer 	Kaposi's sarcoma 2	0.653669974467105	False	0.882997209357427
Prostate cancer 	Kaposi's sarcoma 1	0.653669974467105	False	0.9150588419193554
Prostate cancer 	Liver cancer 2	0.661910013322777	False	0.895495902796422
Prostate cancer 	Liver cancer 1	0.661910013322777	False	0.896402079926509
Prostate cancer 	Liver cancer 3	0.661910013322777	False	0.89310421424151
Prostate cancer 	Lung cancer 1	0.661910013322777	False	0.862446808439272
Prostate cancer 	Lung cancer 2	0.661910013322777	False	0.87069222224458
Prostate cancer 	Parkinson's disease 10	0.3880298957688339	False	0.88747803923195
Prostate cancer 	Parkinson's disease 8	0.3880298957688339	False	0.897059572731695
Prostate cancer 	Parkinson's disease 6	0.3880298957688339	False	0.9138181853392663
Prostate cancer 	Parkinson's disease 9	0.3880298957688339	False	0.892304896455995
Prostate cancer 	Parkinson's disease 7	0.3880298957688339	False	0.8627413456483161
Prostate cancer 	Parkinson's disease 4	0.3880298957688339	False	0.885807840342375
Prostate cancer 	Parkinson's disease 1	0.3880298957688339	False	0.873570182215616
Prostate cancer 	Parkinson's disease 5	0.3880298957688339	False	0.867627382832036
Prostate cancer 	Parkinson's disease 3	0.3880298957688339	False	0.860467298820997
Prostate cancer 	Parkinson's disease 2	0.3880298957688339	False	0.898071525762133
Prostate cancer 	Prostate cancer 2	0.02381052380952406	True	0.02381052380952406
Prostate cancer 	Papillary thyroid cancer 	0.672527171458675	False	0.87154036149997
Prostate cancer 	Schizophrenia 	0.3880298957688339	False	0.85523983914208
Prostate cancer 	Adenomatous polyps 	0.32436417334444595	False	0.630288769991805
Prostate cancer 	Liver cancer 	0.661910013322777	False	0.8900544913988
Prostate cancer 	Glioblastoma 	0.4769259466425399	False	0.9411990530080405
Prostate cancer 	Parkinson's disease 	0.3880298957688339	False	0.8801362246031851
Prostate cancer 	Kaposi's sarcoma 	0.653669974467105	False	0.9030735895156007
Prostate cancer 	Idiopathic pulmonary fibrosis 	0.661910013322777	False	0.763485560759405
Prostate cancer 	Colorectal cancer 	0.45380292822610596	False	0.866825062336935
Prostate cancer 	Sessile serrated polyps 	0.525523079605647	False	0.9292090602189568
Prostate cancer 	Hyperplastic polyps 	0.525523079605647	False	0.7601067797664981
Prostate cancer 	Breast cancer 	0.661910013322777	False	0.952085349300005
Prostate cancer 	Prostate cancer 1	1e-06	True	1e-06
Prostate cancer 	Lung cancer 	0.661910013322777	False	0.86153100520432
Prostate cancer 	Schizophrenia 2	0.3880298957688339	False	0.8402169764186911
Prostate cancer 	Systemic lupus erythematosus 1	1e-06	True	1e-06
Prostate cancer 	Papillary thyroid cancer 1	0.672527171458675	False	0.875832284514177
Prostate cancer 	Papillary thyroid cancer 3	0.672527171458675	False	0.8739146843251709
Prostate cancer 	Papillary thyroid cancer 2	0.672527171458675	False	0.857007402986356
